Number of words,275209
Number of unique words,282
Average word frequency,975.918440
Entropy,5.115872

Word,Frequency,Proportion,Entropy Term
direito,450,0.001635,0.010491
via,528,0.001919,0.012003
direitos,609,0.002213,0.013528
oito,1701,0.006181,0.031437
anos,3467,0.012598,0.055105
deve,588,0.002137,0.013137
corte,937,0.003405,0.019347
quatro,433,0.001573,0.010155
votos,1558,0.005661,0.029292
tres,467,0.001697,0.010824
sido,330,0.001199,0.008065
junho,429,0.001559,0.010076
ministerio,313,0.001137,0.007710
tudo,720,0.002616,0.015556
pois,305,0.001108,0.007542
silva,365,0.001326,0.008787
proximos,408,0.001483,0.009657
leia,567,0.002060,0.012743
alem,544,0.001977,0.012307
historia,459,0.001668,0.010668
veja,538,0.001955,0.012193
tambem,1306,0.004745,0.025391
fazer,735,0.002671,0.015825
brasileira,570,0.002071,0.012799
retomado,418,0.001519,0.009857
lider,304,0.001105,0.007521
pdt,824,0.002994,0.017399
julho,716,0.002602,0.015484
passado,503,0.001828,0.011523
tv,432,0.001570,0.010135
atacar,309,0.001123,0.007626
sistema,1641,0.005963,0.030543
relator,1547,0.005621,0.029125
benedito,1385,0.005033,0.026631
goncalves,1447,0.005258,0.027593
raul,772,0.002805,0.016484
araujo,862,0.003132,0.018060
janeiro,511,0.001857,0.011677
desta,674,0.002449,0.014724
assim,476,0.001730,0.011000
maioria,1886,0.006853,0.034149
carlos,353,0.001283,0.008541
primeira,307,0.001116,0.007584
julgado,313,0.001137,0.007710
indevido,942,0.003423,0.019432
meios,975,0.003543,0.019991
cid,349,0.001268,0.008459
ministra,878,0.003190,0.018337
sextafeira,1371,0.004982,0.026413
judiciario,329,0.001195,0.008044
policia,397,0.001443,0.009436
nada,340,0.001235,0.008273
twitter,332,0.001206,0.008107
estrangeiros,344,0.001250,0.008356
carmen,1252,0.004549,0.024533
lucia,1307,0.004749,0.025407
condenacao,1634,0.005937,0.030438
forma,762,0.002769,0.016306
sexta,326,0.001185,0.007982
torna,321,0.001166,0.007878
vida,463,0.001682,0.010746
informacoes,400,0.001453,0.009497
todo,483,0.001755,0.011136
condenar,312,0.001134,0.007689
condenado,762,0.002769,0.016306
corrupcao,463,0.001682,0.010746
impedido,331,0.001203,0.008086
disputar,472,0.001715,0.010922
supremo,550,0.001998,0.012421
ficou,328,0.001192,0.008024
dois,453,0.001646,0.010550
inicio,307,0.001116,0.007584
ficara,329,0.001195,0.008044
andre,602,0.002187,0.013398
ataques,478,0.001737,0.011039
cargo,335,0.001217,0.008169
recurso,315,0.001145,0.007752
braga,464,0.001686,0.010766
nunca,505,0.001835,0.011562
urgente,410,0.001490,0.009697
tavares,513,0.001864,0.011715
enquanto,338,0.001228,0.008231
azevedo,402,0.001461,0.009537
formou,493,0.001791,0.011330
recorrer,317,0.001152,0.007794
netto,457,0.001661,0.010629
votou,660,0.002398,0.014468
vota,350,0.001272,0.008479
tornou,364,0.001323,0.008767
floriano,537,0.001951,0.012174
ramos,448,0.001628,0.010452
placar,971,0.003528,0.019924
