Number of words,275209
Number of unique words,282
Average word frequency,975.918440
Entropy,5.115872

Word,Frequency,Proportion,Entropy Term
ver,341,0.001239,0.008294
apoio,351,0.001275,0.008500
presidente,3481,0.012649,0.055277
bolsonaro,23426,0.085121,0.209711
povo,1210,0.004397,0.023860
brasileiro,914,0.003321,0.018955
brasileiros,446,0.001621,0.010412
deus,651,0.002365,0.014303
familia,332,0.001206,0.008107
liberdade,424,0.001541,0.009977
fez,911,0.003310,0.018904
brasil,3612,0.013125,0.056872
todos,1222,0.004440,0.024053
nesta,2124,0.007718,0.037541
bem,513,0.001864,0.011715
contra,2422,0.008801,0.041653
julgamento,4087,0.014851,0.062517
sera,1313,0.004771,0.025502
moraes,1414,0.005138,0.027082
casa,328,0.001192,0.008024
vai,1336,0.004854,0.025864
pra,717,0.002605,0.015502
governo,1645,0.005977,0.030602
jair,5383,0.019560,0.076953
nacional,460,0.001671,0.010687
processo,1023,0.003717,0.020797
confira,532,0.001933,0.012079
politica,1662,0.006039,0.030857
redes,686,0.002493,0.014942
poder,2256,0.008197,0.039380
publico,484,0.001759,0.011156
maior,674,0.002449,0.014724
conta,367,0.001334,0.008828
pix,949,0.003448,0.019551
r,1023,0.003717,0.020797
pl,2384,0.008663,0.041136
campanha,414,0.001504,0.009777
expresidente,6507,0.023644,0.088538
news,477,0.001733,0.011019
lula,2580,0.009375,0.043777
apos,1500,0.005450,0.028408
durante,1077,0.003913,0.021693
oficial,351,0.001275,0.008500
entao,508,0.001846,0.011619
imprensa,312,0.001134,0.007689
sobre,2146,0.007798,0.037850
fala,346,0.001257,0.008397
verdade,415,0.001508,0.009797
eleicoes,1913,0.006951,0.034539
qualquer,400,0.001453,0.009497
valor,320,0.001163,0.007857
messias,629,0.002286,0.013899
nome,357,0.001297,0.008623
antes,494,0.001795,0.011349
faz,426,0.001548,0.010016
jornal,304,0.001105,0.007521
publica,322,0.001170,0.007898
crime,452,0.001642,0.010530
abuso,1638,0.005952,0.030498
votaram,407,0.001479,0.009637
voto,2651,0.009633,0.044721
agora,1300,0.004724,0.025296
parte,521,0.001893,0.011869
apenas,577,0.002097,0.012931
tse,7793,0.028317,0.100929
podera,501,0.001820,0.011485
dia,1423,0.005171,0.027222
brasilia,491,0.001784,0.011291
crimes,524,0.001904,0.011926
ministro,2578,0.009367,0.043751
dias,411,0.001493,0.009717
pode,2092,0.007601,0.037091
tornar,1537,0.005585,0.028972
inelegivel,6940,0.025217,0.092805
dinheiro,479,0.001740,0.011058
comunicacao,1126,0.004091,0.022498
instagram,401,0.001457,0.009517
quer,333,0.001210,0.008128
video,522,0.001897,0.011888
evento,329,0.001195,0.008044
vivo,462,0.001679,0.010727
retoma,407,0.001479,0.009637
disse,1010,0.003670,0.020579
bolsonaroinelegivel,389,0.001413,0.009275
stf,1098,0.003990,0.022039
decisao,1615,0.005868,0.030152
opiniao,329,0.001195,0.008044
pais,1246,0.004527,0.024437
hoje,1269,0.004611,0.024804
encontro,432,0.001570,0.010135
tempo,343,0.001246,0.008335
ter,942,0.003423,0.019432
embaixadores,1355,0.004924,0.026162
gente,412,0.001497,0.009737
resultado,423,0.001537,0.009957
aqui,416,0.001512,0.009817
fim,373,0.001355,0.008950
mundo,567,0.002060,0.012743
michelle,448,0.001628,0.010452
link,341,0.001239,0.008294
sociais,680,0.002471,0.014833
reuniao,1662,0.006039,0.030857
eleitoral,4996,0.018153,0.072775
porque,507,0.001842,0.011600
direita,974,0.003539,0.019974
milhoes,731,0.002656,0.015753
sempre,535,0.001944,0.012136
deixar,369,0.001341,0.008869
segundo,608,0.002209,0.013510
ano,731,0.002656,0.015753
primeiro,562,0.002042,0.012648
fica,437,0.001588,0.010234
federal,1351,0.004909,0.026100
projeto,407,0.001479,0.009637
desde,336,0.001221,0.008190
partido,660,0.002398,0.014468
democracia,1423,0.005171,0.027222
capitao,301,0.001094,0.007457
golpe,658,0.002391,0.014432
saiba,373,0.001355,0.008950
candidato,435,0.001581,0.010195
noticias,1015,0.003688,0.020663
ficar,584,0.002122,0.013062
analise,329,0.001195,0.008044
voce,826,0.003001,0.017434
onde,437,0.001588,0.010234
grupo,337,0.001225,0.008211
votacao,583,0.002118,0.013043
inelegibilidade,3268,0.011875,0.052644
quintafeira,703,0.002554,0.015250
ministros,1679,0.006101,0.031110
votar,394,0.001432,0.009376
sessao,1021,0.003710,0.020763
diz,861,0.003129,0.018043
grande,665,0.002416,0.014560
uso,1160,0.004215,0.023052
pessoas,526,0.001911,0.011965
ainda,1448,0.005261,0.027609
entrevista,321,0.001166,0.007878
justica,1336,0.004854,0.025864
politico,2090,0.007594,0.037063
deputado,550,0.001998,0.012421
jairbolsonaro,365,0.001326,0.008787
periodo,416,0.001512,0.009817
menos,322,0.001170,0.007898
sao,1216,0.004418,0.023957
so,1104,0.004011,0.022138
mil,446,0.001621,0.010412
paulo,535,0.001944,0.012136
ser,2049,0.007445,0.036483
nunes,763,0.002772,0.016324
pt,619,0.002249,0.013714
eleicao,460,0.001671,0.010687
vamos,484,0.001759,0.011156
melhor,328,0.001192,0.008024
momento,428,0.001555,0.010056
republica,595,0.002162,0.013268
vez,450,0.001635,0.010491
esquerda,580,0.002107,0.012987
cada,328,0.001192,0.008024
tribunal,3216,0.011686,0.051994
superior,2379,0.008644,0.041068
pedido,308,0.001119,0.007605
marques,1195,0.004342,0.023619
favor,667,0.002424,0.014596
tercafeira,502,0.001824,0.011504
caso,1023,0.003717,0.020797
partir,450,0.001635,0.010491
lei,497,0.001806,0.011407
outros,472,0.001715,0.010922
alexandre,1121,0.004073,0.022416
politicos,724,0.002631,0.015628
palacio,583,0.002118,0.013043
alvorada,491,0.001784,0.011291
acao,1557,0.005658,0.029276
afirmou,755,0.002743,0.016182
ha,789,0.002867,0.016784
defesa,644,0.002340,0.014175
estado,761,0.002765,0.016289
preso,399,0.001450,0.009476
rio,303,0.001101,0.007499
foto,372,0.001352,0.008930
provas,333,0.001210,0.008128
estao,516,0.001875,0.011773
meio,312,0.001134,0.007689
urnas,641,0.002329,0.014120
proprio,312,0.001134,0.007689
presidencia,367,0.001334,0.008828
dessa,322,0.001170,0.007898
sendo,559,0.002031,0.012592
