Number of pairs,636792.000000
Number of unique pairs,12495
Average pair frequency,50.963745
Pair entropy,8.473147

Pair,Frequency,Proportion,Entropy Term,Mutual Information
ver presidente,16.000000,0.000025,0.000266,0.472005
ver bolsonaro,109.000000,0.000171,0.001485,0.484237
ver julgamento,18.000000,0.000028,0.000296,0.429297
ver jair,11.000000,0.000017,0.000189,-0.338614
ver expresidente,11.000000,0.000017,0.000189,-0.528247
ver lula,12.000000,0.000019,0.000205,0.483853
ver tse,25.000000,0.000039,0.000398,0.112386
ver inelegivel,21.000000,0.000033,0.000340,0.053957
ver resultado,10.000000,0.000016,0.000174,2.109704
ver aqui,10.000000,0.000016,0.000174,2.126391
ver tribunal,22.000000,0.000035,0.000355,0.869640
ver sendo,11.000000,0.000017,0.000189,1.926237
apoio presidente,23.000000,0.000036,0.000369,0.806007
apoio bolsonaro,109.000000,0.000171,0.001485,0.455334
apoio todos,10.000000,0.000016,0.000174,1.019929
apoio jair,35.000000,0.000055,0.000539,0.789935
apoio pl,23.000000,0.000036,0.000369,1.184547
apoio expresidente,42.000000,0.000066,0.000635,0.782623
apoio apos,26.000000,0.000041,0.000413,1.770464
apoio tse,20.000000,0.000031,0.000326,-0.139661
apoio inelegivel,18.000000,0.000028,0.000296,-0.129098
apoio decisao,10.000000,0.000016,0.000174,0.741082
apoio partido,10.000000,0.000016,0.000174,1.635933
apoio tribunal,15.000000,0.000024,0.000251,0.457744
apoio superior,12.000000,0.000019,0.000205,0.536059
presidente ver,13.000000,0.000020,0.000220,0.264366
presidente apoio,12.000000,0.000019,0.000205,0.155419
presidente bolsonaro,1069.000000,0.001679,0.010727,0.444176
presidente povo,63.000000,0.000099,0.000912,0.576058
presidente brasileiro,29.000000,0.000046,0.000455,0.080764
presidente brasileiros,17.000000,0.000027,0.000281,0.264193
presidente deus,35.000000,0.000055,0.000539,0.608137
presidente familia,22.000000,0.000035,0.000355,0.817206
presidente fez,60.000000,0.000094,0.000873,0.811101
presidente brasil,277.000000,0.000435,0.003367,0.963300
presidente todos,38.000000,0.000060,0.000580,0.060641
presidente nesta,16.000000,0.000025,0.000266,-1.357169
presidente contra,20.000000,0.000031,0.000326,-1.265318
presidente julgamento,86.000000,0.000135,0.001203,-0.329920
presidente sera,49.000000,0.000077,0.000729,0.243049
presidente moraes,208.000000,0.000327,0.002622,1.614659
presidente casa,14.000000,0.000022,0.000236,0.377343
presidente vai,31.000000,0.000049,0.000483,-0.232149
presidente pra,16.000000,0.000025,0.000266,-0.271188
presidente governo,26.000000,0.000041,0.000413,-0.616100
presidente jair,372.000000,0.000584,0.004349,0.859192
presidente nacional,45.000000,0.000071,0.000675,1.206735
presidente processo,14.000000,0.000022,0.000236,-0.760138
presidente politica,26.000000,0.000041,0.000413,-0.626381
presidente poder,30.000000,0.000047,0.000469,-0.788852
presidente maior,16.000000,0.000025,0.000266,-0.209342
presidente conta,14.000000,0.000022,0.000236,0.264994
presidente pix,35.000000,0.000055,0.000539,0.231238
presidente r,18.000000,0.000028,0.000296,-0.508824
presidente pl,115.000000,0.000181,0.001557,0.499696
presidente expresidente,51.000000,0.000080,0.000755,-1.317509
presidente news,17.000000,0.000027,0.000281,0.196996
presidente lula,388.000000,0.000609,0.004511,1.636760
presidente apos,33.000000,0.000052,0.000511,-0.285414
presidente durante,25.000000,0.000039,0.000398,-0.231760
presidente sobre,49.000000,0.000077,0.000729,-0.248242
presidente fala,19.000000,0.000030,0.000311,0.629299
presidente eleicoes,33.000000,0.000052,0.000511,-0.528621
presidente qualquer,11.000000,0.000017,0.000189,-0.062270
presidente valor,18.000000,0.000028,0.000296,0.653350
presidente messias,147.000000,0.000231,0.001933,2.077600
presidente publica,11.000000,0.000017,0.000189,0.154643
presidente abuso,13.000000,0.000020,0.000220,-1.304983
presidente voto,78.000000,0.000122,0.001103,0.005316
presidente agora,47.000000,0.000074,0.000702,0.211327
presidente apenas,11.000000,0.000017,0.000189,-0.428648
presidente tse,332.000000,0.000521,0.003941,0.375453
presidente podera,11.000000,0.000017,0.000189,-0.287412
presidente dia,23.000000,0.000036,0.000369,-0.593729
presidente brasilia,19.000000,0.000030,0.000311,0.279294
presidente ministro,152.000000,0.000239,0.001991,0.700410
presidente pode,44.000000,0.000069,0.000662,-0.330387
presidente tornar,44.000000,0.000069,0.000662,-0.022099
presidente inelegivel,192.000000,0.000302,0.002444,-0.056263
presidente dinheiro,12.000000,0.000019,0.000205,-0.155495
presidente quer,15.000000,0.000024,0.000251,0.431207
presidente video,14.000000,0.000022,0.000236,-0.087311
presidente vivo,13.000000,0.000020,0.000220,-0.039317
presidente disse,28.000000,0.000044,0.000441,-0.054202
presidente stf,27.000000,0.000042,0.000427,-0.174110
presidente decisao,28.000000,0.000044,0.000441,-0.523587
presidente opiniao,11.000000,0.000017,0.000189,0.133136
presidente pais,49.000000,0.000077,0.000729,0.295426
presidente hoje,28.000000,0.000044,0.000441,-0.282481
presidente encontro,10.000000,0.000016,0.000174,-0.234542
presidente ter,37.000000,0.000058,0.000567,0.294212
presidente embaixadores,88.000000,0.000138,0.001228,0.797079
presidente fim,11.000000,0.000017,0.000189,0.007616
presidente mundo,10.000000,0.000016,0.000174,-0.506475
presidente reuniao,52.000000,0.000082,0.000769,0.066766
