"Date","Profile","Message","Number.of.Likes","Number.of.comments","Total.interactions","Impressions","Interactions.per.impression","Profile.ID","Post.ID","Link","X","Date_BR","Month","ID_month","total_interactions_month","mean_interactions_month","median_interactions_month","num_postagens_month","Interval_Week","ID_week","total_interactions_week","mean_interactions_week","median_interactions_week","num_postagens_week"
NA,"Jair M. Bolsonaro"," 🇧🇷 Parada básica, Brasília/Goiânia, 5 Jul 23.",453135,20283,473418,NA,NA,324756395,17910666917704356,"https://www.instagram.com/reel/CuUaWuKR8tQ/",NA,NA,NA,NA,NA,NA,NA,NA,"NA até NA",NA,NA,NA,NA,NA
NA,"Jair M. Bolsonaro","A reforma da discórdia:-A PEC da Reforma Tributária cria também um IPVA Ecológico, um acréscimo no caro IPVA que todos já pagam por seus veículos, que será progressivo de acordo com a emissão de carbono de cada modelo.-A partir da reforma, caso aprovada, também pagarão IPVA Ecológico as embarcações e aviões.-Temos hoje um governo sem limites para criar ou majorar impostos, como se a Curva de Laffer estivesse em superados livros de economia.-Com tantas insanidades, a PEC merece um só destino: o arquivo da Câmara.-Jair Bolsonaro.",264734,5948,270682,NA,NA,324756395,17977459679158568,"https://www.instagram.com/p/CuT-8zPuTOE/",NA,NA,NA,NA,NA,NA,NA,NA,"NA até NA",NA,NA,NA,NA,NA
NA,"Jair M. Bolsonaro","Reforma Tributária do PT: um verdadeiro soco no estômago dos mais pobres.-Em nosso governo diminuímos em 1/3 o IPI de mais de 4.000 produtos, zeramos os impostos federais dos combustíveis e também zeramos, via CAMEX, os impostos de pneus de caminhões, remédios contra câncer, HIV, peças de tratores, games, itens hospitalares, etc.-Mesmo com tais reduções, mês mês, batemos recorde na arrecadação e terminamos 2022 com superavit primário. -Também em 22 reduzimos o gasto público, tivemos uma inflação menor que os Estados Unidos e um crescimento maior que a China.-Além disso, o desemprego caiu e batemos recorde na geração de empregos (quase 100 milhões de brasileiros trabalhando). Por fim, ocorreu expressiva redução na taxa de pobreza que atingiu o menor patamar da série histórica.-A atual Reforma Tributária do PT vai na contramão do que fizemos. Caso tivesse um mínimo de coerência, o atual governo deveria manter a nossa política econômica que deu certo: menos impostos, mais arrecadação.-Nessa atual proposta o PT aumenta de forma absurda os impostos da cesta básica (arroz, açúcar, óleo, batata, feijão, farinha, etc.), cria um imposto seletivo para refrigerantes, produtos açucarados, carnes e bebidas alcoólicas, entre outros.-A PEC retira ainda a capacidade de investimento dos estados e subtrai recursos dos municípios. -Agregue-se a isso o fantasma da taxação do PIX e o imposto sobre herança, os quais somos radicalmente contra.-Do exposto o presidente do Partido Liberal e seu líder na Câmara dos Deputados encaminharão, junto aos seus 99 deputados, pela rejeição total da PEC da Reforma Tributária.. Jair Bolsonaro.",274514,7644,282158,NA,NA,324756395,17900090447811696,"https://www.instagram.com/p/CuRcsCSOXqU/",NA,NA,NA,NA,NA,NA,NA,NA,"NA até NA",NA,NA,NA,NA,NA
NA,"Jair M. Bolsonaro","-",253458,11612,265070,NA,NA,324756395,17937049937679556,"https://www.instagram.com/p/CuPHvRZL9LI/",NA,NA,NA,NA,NA,NA,NA,NA,"NA até NA",NA,NA,NA,NA,NA
NA,"Jair M. Bolsonaro"," Economia gerada por operações antifraude mais que dobrou em 2019.- Ações fizeram o Governo Federal economizar R$ 961 milhões no mesmo ano. 107,1% a mais que os R$ 464 milhões registrados em 2018.- O resultado foi alcançado por meio do aperfeiçoamento dos métodos de investigação, além da coordenação entre os órgãos da gestão pública.- Graças a tais ações há maior retorno para a sociedade, mesmo que com meios escassos, devido a corrupção generalizada de governos anteriores.- Detalhes: https://agenciabrasil.ebc.com.br/economia/noticia/2020-02/economia-gerada-por-operacoes-antifraude-mais-do-que-dobrou-em-2019?amp",147016,4167,151183,NA,NA,324756395,17926906208711016,"https://www.instagram.com/p/CuO4qQ7Oli9/",NA,NA,NA,NA,NA,NA,NA,NA,"NA até NA",NA,NA,NA,NA,NA
NA,"Jair M. Bolsonaro"," Caçada implacável.",195157,28004,223161,NA,NA,324756395,17961941381593452,"https://www.instagram.com/p/CuMo0t4LmQk/",NA,NA,NA,NA,NA,NA,NA,NA,"NA até NA",NA,NA,NA,NA,NA
NA,"Jair M. Bolsonaro","-",350339,14665,365004,NA,NA,324756395,18375814042052400,"https://www.instagram.com/p/CuKMSUfrLX0/",NA,NA,NA,NA,NA,NA,NA,NA,"NA até NA",NA,NA,NA,NA,NA
NA,"Jair M. Bolsonaro"," O Governo Jair Bolsonaro bate recorde de leilões de bens apreendidos em operações policiais em 2022.- Foram vendidos mais de 3 mil itens e arrecadados cerca de R$ 105 milhões.- Com a aplicação da Lei 13.886 (MP da aceleração da utilização de bens de traficantes para o bem da sociedade) o trâmite ganhou velocidade recorde no país.- Até 2018, eram realizados, em média, 6 leilões. Já em 2019, esse número subiu para 11 com arrecadação de R$ 4 milhões e em 2020 foram 122 leilões realizados com arrecadação de R$ 39,9 milhões.- USANDO OS RECURSOS DO CRIME PARA COMBATER O PRÓPRIO CRIME ORGANIZADO!- A cada dia, o Executivo Federal aumentava sua eficiência, trazendo resultados concretos para a população brasileira, salvando famílias, vidas, modernizando equipamentos no combate ao crime, bem como valorizando o trabalho e o profissional de segurança pública.- Mais Informações: https://www.gov.br/pt-br/noticias/justica-e-seguranca/2021/11/governo-federal-bate-recorde-de-leiloes-de-bens-apreendidos-em-operacoes-policiais",663647,15663,679310,NA,NA,324756395,18020829568544744,"https://www.instagram.com/p/CuKHyHErZi0/",NA,NA,NA,NA,NA,NA,NA,NA,"NA até NA",NA,NA,NA,NA,NA
NA,"Jair M. Bolsonaro","Brasil Acima de Tudo!- Deus Acima de Todos!",3109079,325248,3434327,NA,NA,324756395,18373029469009920,"https://www.instagram.com/reel/CuIKCfcurDz/",NA,NA,NA,NA,NA,NA,NA,NA,"NA até NA",NA,NA,NA,NA,NA
NA,"Jair M. Bolsonaro","O último adeus a Alysson Paolinelli, o Pai da Agricultura.",414288,14184,428472,NA,NA,324756395,18019634935608384,"https://www.instagram.com/reel/CuHSWdvsCTg/",NA,NA,NA,NA,NA,NA,NA,NA,"NA até NA",NA,NA,NA,NA,NA
NA,"Jair M. Bolsonaro"," Foro de SP e o comunismo! Sempre dissemos e fomos rotulados! - Hoje, por palavras deles mesmos expõem quem são e seus objetivos!- Não há mais como tapar o sol com a peneira!",468946,26275,495221,NA,NA,324756395,17983312163499572,"https://www.instagram.com/reel/CuHDetHs_AP/",NA,NA,NA,NA,NA,NA,NA,NA,"NA até NA",NA,NA,NA,NA,NA
NA,"Jair M. Bolsonaro"," Coletiva (29/06/2023)",584064,33794,617858,NA,NA,324756395,17995156039974072,"https://www.instagram.com/reel/CuEsu4xMlQX/",NA,NA,NA,NA,NA,NA,NA,NA,"NA até NA",NA,NA,NA,NA,NA
NA,"Jair M. Bolsonaro"," Em 2017 Fernando Mitre perguntou ao deputado Jair Bolsonaro qual seria seu mais importante projeto na Câmara.- Em novembro/2018 o TSE determinou que a PF instaurasse inquérito para apurar possíveis irregularidades por ocasião das eleições.- Esse inquérito ainda não foi concluído, mas Bolsonaro responde por ele, pela sua divulgação na reunião com embaixadores.- “Abuso de poder político” seria o crime cometido pelo qual o ex presidente pode se tornar inelegível.",663619,23287,686906,NA,NA,324756395,18020741476528604,"https://www.instagram.com/reel/CuDKl7fMPvC/",NA,NA,NA,NA,NA,NA,NA,NA,"NA até NA",NA,NA,NA,NA,NA
NA,"Jair M. Bolsonaro","Carlos Lupi, presidente do PDT: “Sem a impressão do voto, não há possibilidade de recontagem. Sem a recontagem, *a fraude impera”.*Esse mesmo Lupi, atualmente ministro da Previdência de Lula, foi quem ajuizou ação no TSE pedindo a inelegibilidade de Bolsonaro por defender o voto impresso.",1180346,55918,1236264,NA,NA,324756395,17891627750785832,"https://www.instagram.com/reel/CuCaD-5LmDQ/",NA,NA,NA,NA,NA,NA,NA,NA,"NA até NA",NA,NA,NA,NA,NA
NA,"Jair M. Bolsonaro",". A Transformação Digital do Governo Jair Bolsonaro já é uma realidade reconhecida nacional e internacionalmente. Ações de digitalização e desburocratização dos serviços públicos garantem:. R$ 3 bilhões em economia para o Brasil e os brasileiros,. 1.500 serviços digitalizados em 34 meses na plataforma gov.br,. 115 milhões de usuários cadastrados.COM A ESTRATÉGIA ADOTADA PELO GOVERNO DO BRASIL, O PAÍS JÁ É UM DOS LÍDERES GOVTECHI. Estudo do Banco Mundial reconheceu liderança brasileira,. Brasil já é o 7° em serviços públicos digitalizados entre 198 economias analisadas,. Primeiro nas Américas e entre os países com mais de 100 Milhões de habitantes,. Programa Startup Gov.br foi um dos responsáveis pela transformação digital dos serviços públicos.. São 26 startups que possibilitam realizar prova de vida, solicitar documentos, transferir carro, moto ou caminhão de forma digital.. As ações garantiram que a inovadora plataforma gov.br  fosse reconhecida também em premiação nacional:. Vencedora do Prêmio iBest no júri popular,. Quase 100% de digitalização dos 4,7 mil serviços públicos até o final de 2022,. Hoje 115 milhões de usuários têm acesso a serviços simples é menos burocráticos, n° de pessoas cadastradas era 1,8 milhão em janeiro de 2019, 100 mil novos usuários ingressam na plataforma por dia.",192811,5790,198601,NA,NA,324756395,18015338596653732,"https://www.instagram.com/p/CuCNiwdLOhF/",NA,NA,NA,NA,NA,NA,NA,NA,"NA até NA",NA,NA,NA,NA,NA
NA,"Jair M. Bolsonaro"," ESTRATÉGIA NACIONAL DE FORTALECIMENTO DE VÍNCULOS FAMILIARES DURANTE NOSSA GESTÃO: - Lançada para desenvolver programas e políticas voltados às famílias que ajudam a reduzir a pobreza e a desenvolver o capital humano, contando com 40 ações e envolvendo 5 ministérios, entre elas:• Estudos sobre instrumentos de acompanhamento,. Pesquisas sobre o contexto brasileiro,. Disponibilização de metodologias de fortalecimento de vínculos familiares para escolas,. Inclusão de temas voltados à família em programas e planos de ações do Governo,. Criação de Sistema Nacional de Prevenção às Drogas,. Realização de campanha sobre a convivência familiar,. Fornecimento de capacitações, cursos e kits voltados à educação e aos vínculos familiares visando fortalecer os vínculos dentro de casa,- O Governo Jair Bolsonaro também se posicionou em fóruns internacionais em defesa da família, base da sociedade.- Com os valores corretos guiando as ações governamentais, os jovens brasileiros poderiam ter um futuro mais digno.",364240,10263,374503,NA,NA,324756395,18018573805611896,"https://www.instagram.com/reel/Ct_lm6NtMAL/",NA,NA,NA,NA,NA,NA,NA,NA,"NA até NA",NA,NA,NA,NA,NA
NA,"Jair M. Bolsonaro","SECRETARIA DE ALFABETIZAÇÃO FOI CRIADA EM 2019 PELO GOVERNO JAIR BOLSONARO, COM O PROPÓSITO DE CORRIGIR OS PROBLEMAS DE ALFABETIZAÇÃO.• Brasil enfrentou décadas de pedagogias ruins e ideologizadas em sua educação, causando altos níveis de insuficiência na leitura e na escrita dos alunos brasileiros.-Por isso, a secretaria tem a missão de desenvolver métodos e técnicas para melhorar a alfabetização nacional e envolver a participação das famílias no processo.-Confira alguns programas e ações:.Foi instituída a Política Nacional de Alfabetização, abrangendo famílias, professores, escolas, redes de ensino e poder público.-Para maior envolvimento das famílias, foram desenvolvidos o Programa Conta pra Mim e o jogo GraphoGame.. Programa Conta pra Mim:alfabetizacao.mec.gov.br/contapramim. Grapho Game:alfabetizacao.mec.gov.br/grapho-game",268987,5923,274910,NA,NA,324756395,17895889973768526,"https://www.instagram.com/p/Ct89rchu9s9/",NA,NA,NA,NA,NA,NA,NA,NA,"NA até NA",NA,NA,NA,NA,NA
NA,"Jair M. Bolsonaro","Jair Bolsonaro e a reforma tributária:-Na atual proposta da Reforma Tributária o governo prevê um Imposto Seletivo sobre bens e serviços prejudiciais à SAÚDE e ao MEIO AMBIENTE.-Isso mesmo, os doutores petistas resolveram, para o bem da nossa saúde e do planeta, nos cobrar mais impostos.-Carnes (picanha), combustíveis fósseis refrigerantes, bebidas alcoólicas, entre outros, seriam sobretaxados.-Lembro que o nosso governo zerou os impostos dos combustíveis, reduziu o IPI de 4 mil produtos, zerou ou diminuiu, via CAMEX, os dos importados de pneus de caminhões, peças de tratores, remédios, games, etc., e mesmo assim, mês a mês, via-se aumentar a arrecadação.-Pelo exposto, o aumento da carga tributária, ora previsto, nos levará à uma queda de produtividade no campo, ao fechamento de fábricas, menos comércio, mais desemprego e inflação.-Aos deputados/senadores do centro direita, que são maioria, sem alterações profundas na PEC, certamente, pelo voto, arquivarão essa péssima proposta.",387583,9511,397094,NA,NA,324756395,17973928409374284,"https://www.instagram.com/p/Ct6tl9GL5eF/",NA,NA,NA,NA,NA,NA,NA,NA,"NA até NA",NA,NA,NA,NA,NA
NA,"Jair M. Bolsonaro"," O “Programa Força Tarefa das Águas” vai muito além da finalização das obras do Rio São Francisco que se arrastava por mais de uma década.- Nos últimos 4 anos, o Governo Jair Bolsonaro levou água a mais de 850 mil moradores de regiões rurais isoladas.- Órgãos do Executivo Federal que trabalham em diversas frentes uniram forças com a missão de levar água tratada a 1,5 MILHÃO de brasileiros até o fim de 2022.- Essas pessoas agora não dependem mais de carros-pipa e têm acesso à água todos os dias!",102783,2974,105757,NA,NA,324756395,17984341868477654,"https://www.instagram.com/reel/Ct6ZnMfOywh/",NA,NA,NA,NA,NA,NA,NA,NA,"NA até NA",NA,NA,NA,NA,NA
NA,"Jair M. Bolsonaro","-",139658,2997,142655,NA,NA,324756395,17893584344776434,"https://www.instagram.com/reel/Ct5DSX8gm7N/",NA,NA,NA,NA,NA,NA,NA,NA,"NA até NA",NA,NA,NA,NA,NA
NA,"Jair M. Bolsonaro",". Terrenos ociosos da União destinados à construção de moradias para pessoas de baixa renda / Governo Jair Bolsonaro. Pelas regras do programa, foram iniciadas parcerias com a iniciativa privada para construção e manutenção das unidades residenciais nos terrenos da União.. Participantes do programa são famílias com renda bruta mensal de até cinco salários mínimos e com pedido de inclusão das Prefeituras.. Quem for habilitado terá direito à propriedade do imóvel após o pagamento das prestações previstas em contrato.. Titulação também nas cidades, não apenas no campo!",147127,4117,151244,NA,NA,324756395,17996405098840572,"https://www.instagram.com/p/Ct32M3ZuyuP/",NA,NA,NA,NA,NA,NA,NA,NA,"NA até NA",NA,NA,NA,NA,NA
NA,"Jair M. Bolsonaro","APREENSÃO DE DROGAS, PREJUÍZOS BILIONÁRIOS AO CRIME ORGANIZADO:. Apreensões recorde geram R$ 3,9 bilhões de prejuízo ao narcotráfico,. 120 leilões de bens do tráfico em 2020, com mais de R$ 40 milhões arrecadados,. 230 leilões em 2021, com R$ 325 milhões arrecadados,. R$ 5,4 bilhões investidos em Segurança entre 2019 e 2021,. R$ 1,4 milhão em itens médicos apreendidos doados para o estado de Goiás,. 14 toneladas de roupas apreendidas destinadas para a Campanha do Agasalho de 25 municípios do Rio Grande do Sul,. R$ 5 milhões em mercadorias à diversas instituições beneficentes do Nordeste,. Residência de 122m quadrados apreendida em Belo Horizonte foi doada para a Associação Fazenda Renascer,. 7 carros de luxo apreendidos foram integrados à frota da PRF,. SEGURANÇA PÚBLICA: Isso é muito mais em postagens anteriores!SIGA-NOS E COMPARTILHE!",205643,5728,211371,NA,NA,324756395,17881786973874436,"https://www.instagram.com/p/Ct1IDpJOE3D/",NA,NA,NA,NA,NA,NA,NA,NA,"NA até NA",NA,NA,NA,NA,NA
NA,"Jair M. Bolsonaro"," Transposul/exposição.- Porto Alegre/RS.- 22/junho/2023.Jair Bolsonaro/visita.",638981,23570,662551,NA,NA,324756395,18226151638236040,"https://www.instagram.com/reel/CtzavFiMrgf/",NA,NA,NA,NA,NA,NA,NA,NA,"NA até NA",NA,NA,NA,NA,NA
NA,"Jair M. Bolsonaro"," Obrigado a todos!",429471,18979,448450,NA,NA,324756395,17998117432914648,"https://www.instagram.com/reel/CtzODFwtHw0/",NA,NA,NA,NA,NA,NA,NA,NA,"NA até NA",NA,NA,NA,NA,NA
NA,"Jair M. Bolsonaro"," Decolando agora para Porto Alegre.- Pouso às 11h20AM no Salgado Filho.- Bom dia a todos.",1508418,54722,1563140,NA,NA,324756395,17960664701545796,"https://www.instagram.com/p/Ctynwl5Oi-U/",NA,NA,NA,NA,NA,NA,NA,NA,"NA até NA",NA,NA,NA,NA,NA
NA,"Jair M. Bolsonaro","Reciclagem avançou em todas as regiões do país durante nosso Governo.-Abarcando de celulares a geladeiras, a ação do programa Lixão Zero já está transformando a realidade dos resíduos eletrônicos no Brasil.-Com centrais de coleta já implantadas no Norte e no Nordeste, o sistema fechou o ano de 2022 com 10 capitais contempladas em todas as regiões do País.-A meta para  2025 era a inclusão de 400 municípios no sistema, contribuindo para a reinserção dos resíduos na economia circular, o encerramento de lixões, que durante nossa gestão foram fechados mais de 700 em todo país , e a geração de empregos verdes no setor de coleta e reciclagem.",143465,4216,147681,NA,NA,324756395,17990031538902656,"https://www.instagram.com/p/CtxKI86PlmY/",NA,NA,NA,NA,NA,NA,NA,NA,"NA até NA",NA,NA,NA,NA,NA
NA,"Jair M. Bolsonaro"," Governo Jair Bolsonaro instituiu a Rede Colaborativa para o Aumento da Produtividade e da Competitividade do Setor Automotivo Brasileiro, denominada Made in Brasil Integrado (MiBI).- A iniciativa tem por objetivo elevar a competitividade das cadeias produtivas do setor, permitindo uma melhor participação destas nos mercados locais e global.- Entre as atividades estão o mapeamento de demandas e oportunidades nas principais commodities da indústria automotiva, a remoção de barreiras para o desenvolvimento e a produção nacional de componentes, sistemas e peças e a proposição de estratégias para evitar o desabastecimento do mercado brasileiro.- Emprego, desenvolvimento e logística.- Detalhes: https://www.gov.br/economia/pt-br/assuntos/noticias/2021/outubro/ministerio-da-economia-institui-rede-colaborativa-para-aumentar-competitividade-do-setor-automotivo",159976,2243,162219,NA,NA,324756395,17998958269902260,"https://www.instagram.com/p/CtwgQDbL032/",NA,NA,NA,NA,NA,NA,NA,NA,"NA até NA",NA,NA,NA,NA,NA
NA,"Jair M. Bolsonaro"," A política externa cabe ao Chefe do Executivo Federal.- Um se reúne com embaixadores, outro com ditadores.",222262,6280,228542,NA,NA,324756395,17866995902946648,"https://www.instagram.com/reel/Ctt-PuoM_oX/",NA,NA,NA,NA,NA,NA,NA,NA,"NA até NA",NA,NA,NA,NA,NA
NA,"Jair M. Bolsonaro","-",197426,6935,204361,NA,NA,324756395,18005112574823696,"https://www.instagram.com/p/CtrymRLv7Ve/",NA,NA,NA,NA,NA,NA,NA,NA,"NA até NA",NA,NA,NA,NA,NA
NA,"Jair M. Bolsonaro"," PUBLICADA DURANTE NOSSA GESTÃO CONVENÇÃO ENTRE SUÍÇA E BRASIL:- Promulgamos a Convenção entre a Confederação Suíça e a República Federativa do Brasil para eliminar a dupla tributação em relação aos tributos sobre a renda e prevenir a evasão e a elisão fiscais entre os países.- A iniciativa tem por objetivo evitar a dupla tributação de renda em diversos setores da economia, garantindo maior segurança jurídica às relações econômicas e financeiras entre os dois países, além de fortalecer as relações comerciais bilaterais.- Detalhes: https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/noticias/2021/06/promulgada-convencao-entre-brasil-e-suica-para-eliminar-dupla-tributacao",380506,7244,387750,NA,NA,324756395,17885401676808378,"https://www.instagram.com/p/CtrO_m_Lqhv/",NA,NA,NA,NA,NA,NA,NA,NA,"NA até NA",NA,NA,NA,NA,NA
NA,"Jair M. Bolsonaro"," 🇧🇷",283149,12096,295245,NA,NA,324756395,18048050089449728,"https://www.instagram.com/reel/CtpH6J7OLUs/",NA,NA,NA,NA,NA,NA,NA,NA,"NA até NA",NA,NA,NA,NA,NA
NA,"Jair M. Bolsonaro"," ❤️🇧🇷👍",245615,8050,253665,NA,NA,324756395,17983480130273128,"https://www.instagram.com/reel/CtoWzeNNiQk/",NA,NA,NA,NA,NA,NA,NA,NA,"NA até NA",NA,NA,NA,NA,NA
NA,"Jair M. Bolsonaro","PEQUENO HISTÓRICO DE REDUÇÕES DE IMPOSTOS E TARIFAS REALIZADOS PELO GOVERNO JAIR BOLSONARO:-Em 2019, ano não eleitoral, o Governo Federal reduziu impostos sobre remédios contra câncer e HIV/aids, jogos eletrônicos e baixamos as taxas de 532 itens de produção,-Em 2020, ano não eleitoral, reduzimos impostos da folha de pagamento para estimular a contratação de jovens, promovemos nova redução sobre jogos eletrônicos, além de diminuirmos e zerarmos impostos de medicamentos e centenas de produtos médicos, incluindo os de combate à Covid-19.-Também em 2020 zeramos impostos para distribuidoras de energia elétrica, sobre equipamentos de energia solar, sobre cilindros de oxigênio e medicamentos para atrofia muscular espinhal (AME), Impostos federais sobre o arroz, a soja e o milho foram zerados.-As reduções de impostos realizadas em 2022 foram apenas a continuidade de uma política permanente.-No dia 11 de maio de 2022, nova rodada de redução de impostos reflete no preço dos alimentos aos Brasileiros.Carne bovina: de 10,8% para 0,Carne de frango: de 9% para 0,Farinha de trigo: de 10,8% para 0,Bolachas e biscoitos: de 16,2% para O,Produtos de padaria e pastelaria: de 16,2%para 0.-Em março também foram zerados os impostos de importação sobre o café, margarina, macarrão, óleo de soja, açúcar e do álcool que vai na mistura da gasolina.Os impostos federais sobre o diesel e o gás de cozinha também foram zerados, além de muitos outros desde 2019.COMPARTILHE E RESTABELEÇA A VERDADE!",204987,4769,209756,NA,NA,324756395,17999187592822984,"https://www.instagram.com/p/CtmHP3xLhTT/",NA,NA,NA,NA,NA,NA,NA,NA,"NA até NA",NA,NA,NA,NA,NA
