Date;Profile;Message;Number of Likes;Number of comments;Number of Reactions, Comments & Shares;Impressions;Interactions per impression;Profile-ID;Post-ID;Link;
7/5/23 7:25 AM;Jair M. Bolsonaro;A reforma da discórdia:-A PEC da Reforma Tributária cria também um "IPVA Ecológico", um acréscimo no caro IPVA que todos já pagam por seus veículos, que será progressivo de acordo com a emissão de carbono de cada modelo.-A partir da reforma, caso aprovada, também pagarão "IPVA Ecológico" as embarcações e aviões.-Temos hoje um governo sem limites para criar ou majorar impostos, como se a "Curva de Laffer" estivesse em "superados livros de economia".-Com tantas insanidades, a PEC merece um só destino: o arquivo da Câmara.-Jair Bolsonaro.;264734.0;5948.0;270682.0;;;324756395;17977459679158568;https://www.instagram.com/p/CuT-8zPuTOE/;
7/4/23 7:47 AM;Jair M. Bolsonaro;Reforma Tributária do PT: um verdadeiro soco no estômago dos mais pobres.-Em nosso governo diminuímos em 1/3 o IPI de mais de 4.000 produtos, zeramos os impostos federais dos combustíveis e também zeramos, via CAMEX, os impostos de pneus de caminhões, remédios contra câncer, HIV, peças de tratores, games, itens hospitalares, etc.-Mesmo com tais reduções, mês mês, batemos recorde na arrecadação e terminamos 2022 com superavit primário. -Também em 22 reduzimos o gasto público, tivemos uma inflação menor que os Estados Unidos e um crescimento maior que a China.-Além disso, o desemprego caiu e batemos recorde na geração de empregos (quase 100 milhões de brasileiros trabalhando). Por fim, ocorreu expressiva redução na taxa de pobreza que atingiu o menor patamar da série histórica.-A atual Reforma Tributária do PT vai na contramão do que fizemos. Caso tivesse um mínimo de coerência, o atual governo deveria manter a nossa política econômica que deu certo: menos impostos, mais arrecadação.-Nessa atual proposta o PT aumenta de forma absurda os impostos da cesta básica (arroz, açúcar, óleo, batata, feijão, farinha, etc.), cria um imposto seletivo para refrigerantes, produtos açucarados, carnes e bebidas alcoólicas, entre outros.-A PEC retira ainda a capacidade de investimento dos estados e subtrai recursos dos municípios. -Agregue-se a isso o fantasma da taxação do PIX e o imposto sobre herança, os quais somos radicalmente contra.-Do exposto o presidente do Partido Liberal e seu líder na Câmara dos Deputados encaminharão, junto aos seus 99 deputados, pela rejeição total da PEC da Reforma Tributária.. Jair Bolsonaro.;274514.0;7644.0;282158.0;;;324756395;17900090447811696;https://www.instagram.com/p/CuRcsCSOXqU/;
7/3/23 10:05 AM;Jair M. Bolsonaro;-;253458.0;11612.0;265070.0;;;324756395;17937049937679556;https://www.instagram.com/p/CuPHvRZL9LI/;
7/3/23 7:54 AM;Jair M. Bolsonaro; Economia gerada por operações antifraude mais que dobrou em 2019.- Ações fizeram o Governo Federal economizar R$ 961 milhões no mesmo ano. 107,1% a mais que os R$ 464 milhões registrados em 2018.- O resultado foi alcançado por meio do aperfeiçoamento dos métodos de investigação, além da coordenação entre os órgãos da gestão pública.- Graças a tais ações há maior retorno para a sociedade, mesmo que com meios escassos, devido a corrupção generalizada de governos anteriores.- Detalhes: https://agenciabrasil.ebc.com.br/economia/noticia/2020-02/economia-gerada-por-operacoes-antifraude-mais-do-que-dobrou-em-2019?amp;147016.0;4167.0;151183.0;;;324756395;17926906208711015;https://www.instagram.com/p/CuO4qQ7Oli9/;
7/2/23 10:57 AM;Jair M. Bolsonaro; Caçada implacável.;195157.0;28004.0;223161.0;;;324756395;17961941381593451;https://www.instagram.com/p/CuMo0t4LmQk/;
7/1/23 12:09 PM;Jair M. Bolsonaro;-;350339.0;14665.0;365004.0;;;324756395;18375814042052401;https://www.instagram.com/p/CuKMSUfrLX0/;
7/1/23 11:30 AM;Jair M. Bolsonaro; O Governo Jair Bolsonaro bate recorde de leilões de bens apreendidos em operações policiais em 2022.- Foram vendidos mais de 3 mil itens e arrecadados cerca de R$ 105 milhões.- Com a aplicação da Lei 13.886 (MP da aceleração da utilização de bens de traficantes para o bem da sociedade) o trâmite ganhou velocidade recorde no país.- Até 2018, eram realizados, em média, 6 leilões. Já em 2019, esse número subiu para 11 com arrecadação de R$ 4 milhões e em 2020 foram 122 leilões realizados com arrecadação de R$ 39,9 milhões.- USANDO OS RECURSOS DO CRIME PARA COMBATER O PRÓPRIO CRIME ORGANIZADO!- A cada dia, o Executivo Federal aumentava sua eficiência, trazendo resultados concretos para a população brasileira, salvando famílias, vidas, modernizando equipamentos no combate ao crime, bem como valorizando o trabalho e o profissional de segurança pública.- Mais Informações: https://www.gov.br/pt-br/noticias/justica-e-seguranca/2021/11/governo-federal-bate-recorde-de-leiloes-de-bens-apreendidos-em-operacoes-policiais;663647.0;15663.0;679310.0;;;324756395;18020829568544746;https://www.instagram.com/p/CuKHyHErZi0/;
6/30/23 5:12 PM;Jair M. Bolsonaro;Brasil Acima de Tudo!- Deus Acima de Todos!;3109079.0;325248.0;3434327.0;;;324756395;18373029469009922;https://www.instagram.com/reel/CuIKCfcurDz/;
6/30/23 9:05 AM;Jair M. Bolsonaro;O último adeus a Alysson Paolinelli, o Pai da Agricultura.;414288.0;14184.0;428472.0;;;324756395;18019634935608382;https://www.instagram.com/reel/CuHSWdvsCTg/;
6/30/23 6:55 AM;Jair M. Bolsonaro; Foro de SP e o comunismo! Sempre dissemos e fomos rotulados! - Hoje, por palavras deles mesmos expõem quem são e seus objetivos!- Não há mais como tapar o sol com a peneira!;468946.0;26275.0;495221.0;;;324756395;17983312163499572;https://www.instagram.com/reel/CuHDetHs_AP/;
6/29/23 8:58 AM;Jair M. Bolsonaro; Coletiva (29/06/2023);584064.0;33794.0;617858.0;;;324756395;17995156039974073;https://www.instagram.com/reel/CuEsu4xMlQX/;
6/28/23 6:40 PM;Jair M. Bolsonaro; Em 2017 Fernando Mitre perguntou ao deputado Jair Bolsonaro qual seria seu mais importante projeto na Câmara.- Em novembro/2018 o TSE determinou que a PF instaurasse inquérito para apurar possíveis irregularidades por ocasião das eleições.- Esse inquérito ainda não foi concluído, mas Bolsonaro responde por ele, pela sua divulgação na reunião com embaixadores.- “Abuso de poder político” seria o crime cometido pelo qual o ex presidente pode se tornar inelegível.;663619.0;23287.0;686906.0;;;324756395;18020741476528604;https://www.instagram.com/reel/CuDKl7fMPvC/;
6/28/23 11:36 AM;Jair M. Bolsonaro;Carlos Lupi, presidente do PDT: “Sem a impressão do voto, não há possibilidade de recontagem. Sem a recontagem, *a fraude impera”.*Esse mesmo Lupi, atualmente ministro da Previdência de Lula, foi quem ajuizou ação no TSE pedindo a inelegibilidade de Bolsonaro por defender o voto impresso.;1180346.0;55918.0;1236264.0;;;324756395;17891627750785831;https://www.instagram.com/reel/CuCaD-5LmDQ/;
6/28/23 9:46 AM;Jair M. Bolsonaro;. A Transformação Digital do Governo Jair Bolsonaro já é uma realidade reconhecida nacional e internacionalmente. Ações de digitalização e desburocratização dos serviços públicos garantem:. R$ 3 bilhões em economia para o Brasil e os brasileiros,. 1.500 serviços digitalizados em 34 meses na plataforma gov.br,. 115 milhões de usuários cadastrados.COM A ESTRATÉGIA ADOTADA PELO GOVERNO DO BRASIL, O PAÍS JÁ É UM DOS LÍDERES GOVTECHI. Estudo do Banco Mundial reconheceu liderança brasileira,. Brasil já é o 7° em serviços públicos digitalizados entre 198 economias analisadas,. Primeiro nas Américas e entre os países com mais de 100 Milhões de habitantes,. Programa Startup Gov.br foi um dos responsáveis pela transformação digital dos serviços públicos.. São 26 startups que possibilitam realizar prova de vida, solicitar documentos, transferir carro, moto ou caminhão de forma digital.. As ações garantiram que a inovadora plataforma gov.br  fosse reconhecida também em premiação nacional:. Vencedora do Prêmio iBest no júri popular,. Quase 100% de digitalização dos 4,7 mil serviços públicos até o final de 2022,. Hoje 115 milhões de usuários têm acesso a serviços simples é menos burocráticos, n° de pessoas cadastradas era 1,8 milhão em janeiro de 2019, 100 mil novos usuários ingressam na plataforma por dia.;192811.0;5790.0;198601.0;;;324756395;18015338596653731;https://www.instagram.com/p/CuCNiwdLOhF/;
6/27/23 9:30 AM;Jair M. Bolsonaro; ESTRATÉGIA NACIONAL DE FORTALECIMENTO DE VÍNCULOS FAMILIARES DURANTE NOSSA GESTÃO: - Lançada para desenvolver programas e políticas voltados às famílias que ajudam a reduzir a pobreza e a desenvolver o capital humano, contando com 40 ações e envolvendo 5 ministérios, entre elas:• Estudos sobre instrumentos de acompanhamento,. Pesquisas sobre o contexto brasileiro,. Disponibilização de metodologias de fortalecimento de vínculos familiares para escolas,. Inclusão de temas voltados à família em programas e planos de ações do Governo,. Criação de Sistema Nacional de Prevenção às Drogas,. Realização de campanha sobre a convivência familiar,. Fornecimento de capacitações, cursos e kits voltados à educação e aos vínculos familiares visando fortalecer os vínculos dentro de casa,- O Governo Jair Bolsonaro também se posicionou em fóruns internacionais em defesa da família, base da sociedade.- Com os valores corretos guiando as ações governamentais, os jovens brasileiros poderiam ter um futuro mais digno.;364240.0;10263.0;374503.0;;;324756395;18018573805611898;https://www.instagram.com/reel/Ct_lm6NtMAL/;
6/26/23 8:51 AM;Jair M. Bolsonaro;SECRETARIA DE ALFABETIZAÇÃO FOI CRIADA EM 2019 PELO GOVERNO JAIR BOLSONARO, COM O PROPÓSITO DE CORRIGIR OS PROBLEMAS DE ALFABETIZAÇÃO.• Brasil enfrentou décadas de pedagogias ruins e ideologizadas em sua educação, causando altos níveis de insuficiência na leitura e na escrita dos alunos brasileiros.-Por isso, a secretaria tem a missão de desenvolver métodos e técnicas para melhorar a alfabetização nacional e envolver a participação das famílias no processo.-Confira alguns programas e ações:.Foi instituída a Política Nacional de Alfabetização, abrangendo famílias, professores, escolas, redes de ensino e poder público.-Para maior envolvimento das famílias, foram desenvolvidos o Programa Conta pra Mim e o jogo GraphoGame.. Programa Conta pra Mim:alfabetizacao.mec.gov.br/contapramim. Grapho Game:alfabetizacao.mec.gov.br/grapho-game;268987.0;5923.0;274910.0;;;324756395;17895889973768526;https://www.instagram.com/p/Ct89rchu9s9/;
6/25/23 11:52 AM;Jair M. Bolsonaro;Jair Bolsonaro e a reforma tributária:-Na atual proposta da Reforma Tributária o governo prevê um Imposto Seletivo sobre bens e serviços prejudiciais à SAÚDE e ao MEIO AMBIENTE.-Isso mesmo, os "doutores" petistas resolveram, para o bem da nossa saúde e do planeta, nos cobrar mais impostos.-Carnes (picanha), combustíveis fósseis refrigerantes, bebidas alcoólicas, entre outros, seriam sobretaxados.-Lembro que o nosso governo zerou os impostos dos combustíveis, reduziu o IPI de 4 mil produtos, zerou ou diminuiu, via CAMEX, os dos importados de pneus de caminhões, peças de tratores, remédios, games, etc., e mesmo assim, mês a mês, via-se aumentar a arrecadação.-Pelo exposto, o aumento da carga tributária, ora previsto, nos levará à uma queda de produtividade no campo, ao fechamento de fábricas, menos comércio, mais desemprego e inflação.-Aos deputados/senadores do centro direita, que são maioria, sem alterações profundas na PEC, certamente, pelo voto, arquivarão essa péssima proposta.;387583.0;9511.0;397094.0;;;324756395;17973928409374284;https://www.instagram.com/p/Ct6tl9GL5eF/;
6/25/23 8:58 AM;Jair M. Bolsonaro; O “Programa Força Tarefa das Águas” vai muito além da finalização das obras do Rio São Francisco que se arrastava por mais de uma década.- Nos últimos 4 anos, o Governo Jair Bolsonaro levou água a mais de 850 mil moradores de regiões rurais isoladas.- Órgãos do Executivo Federal que trabalham em diversas frentes uniram forças com a missão de levar água tratada a 1,5 MILHÃO de brasileiros até o fim de 2022.- Essas pessoas agora não dependem mais de carros-pipa e têm acesso à água todos os dias!;102783.0;2974.0;105757.0;;;324756395;17984341868477654;https://www.instagram.com/reel/Ct6ZnMfOywh/;
6/24/23 8:23 PM;Jair M. Bolsonaro;-;139658.0;2997.0;142655.0;;;324756395;17893584344776434;https://www.instagram.com/reel/Ct5DSX8gm7N/;
6/24/23 9:10 AM;Jair M. Bolsonaro;. Terrenos ociosos da União destinados à construção de moradias para pessoas de baixa renda / Governo Jair Bolsonaro. Pelas regras do programa, foram iniciadas parcerias com a iniciativa privada para construção e manutenção das unidades residenciais nos terrenos da União.. Participantes do programa são famílias com renda bruta mensal de até cinco salários mínimos e com pedido de inclusão das Prefeituras.. Quem for habilitado terá direito à propriedade do imóvel após o pagamento das prestações previstas em contrato.. Titulação também nas cidades, não apenas no campo!;147127.0;4117.0;151244.0;;;324756395;17996405098840573;https://www.instagram.com/p/Ct32M3ZuyuP/;
6/23/23 7:48 AM;Jair M. Bolsonaro;APREENSÃO DE DROGAS, PREJUÍZOS BILIONÁRIOS AO CRIME ORGANIZADO:. Apreensões recorde geram R$ 3,9 bilhões de prejuízo ao narcotráfico,. 120 leilões de bens do tráfico em 2020, com mais de R$ 40 milhões arrecadados,. 230 leilões em 2021, com R$ 325 milhões arrecadados,. R$ 5,4 bilhões investidos em Segurança entre 2019 e 2021,. R$ 1,4 milhão em itens médicos apreendidos doados para o estado de Goiás,. 14 toneladas de roupas apreendidas destinadas para a Campanha do Agasalho de 25 municípios do Rio Grande do Sul,. R$ 5 milhões em mercadorias à diversas instituições beneficentes do Nordeste,. Residência de 122m quadrados apreendida em Belo Horizonte foi doada para a Associação Fazenda Renascer,. 7 carros de luxo apreendidos foram integrados à frota da PRF,. SEGURANÇA PÚBLICA: Isso é muito mais em postagens anteriores!SIGA-NOS E COMPARTILHE!;205643.0;5728.0;211371.0;;;324756395;17881786973874435;https://www.instagram.com/p/Ct1IDpJOE3D/;
