Number of words,259395
Number of unique words,297
Average word frequency,873.383838
Entropy,5.231549

Word,Frequency,Proportion,Entropy Term
apenas,478,0.001843,0.011603
unidos,878,0.003385,0.019254
rio,944,0.003639,0.020438
janeiro,1068,0.004117,0.022614
busca,2102,0.008103,0.039022
mandato,312,0.001203,0.008087
verdade,508,0.001958,0.012212
quatro,326,0.001257,0.008394
mil,719,0.002772,0.016321
golpe,522,0.002012,0.012494
joias,324,0.001249,0.008350
relacao,394,0.001519,0.009857
presos,489,0.001885,0.011827
estados,937,0.003612,0.020313
atos,313,0.001207,0.008109
forma,329,0.001268,0.008460
democracia,322,0.001241,0.008307
toda,355,0.001369,0.009024
criminosa,457,0.001762,0.011172
metropoles,330,0.001272,0.008482
motivo,310,0.001195,0.008042
sido,676,0.002606,0.015506
policia,3610,0.013917,0.059490
feito,310,0.001195,0.008042
barbosa,504,0.001943,0.012131
fazer,440,0.001696,0.010821
registro,388,0.001496,0.009730
medida,349,0.001345,0.008895
gabinete,401,0.001546,0.010005
lei,491,0.001893,0.011868
familia,552,0.002128,0.013093
flavio,323,0.001245,0.008328
vacinas,320,0.001234,0.008263
policiais,483,0.001862,0.011705
exprimeiradama,363,0.001399,0.009197
qualquer,410,0.001581,0.010195
ha,699,0.002695,0.015943
dados,2290,0.008828,0.041756
entrar,338,0.001303,0.008656
sistemas,890,0.003431,0.019471
associacao,362,0.001396,0.009175
ministerio,1378,0.005312,0.027825
suspeito,389,0.001500,0.009751
esquema,511,0.001970,0.012272
acordo,465,0.001793,0.011337
suspeita,407,0.001569,0.010132
fake,344,0.001326,0.008786
depoimento,487,0.001877,0.011786
apura,380,0.001465,0.009560
pf,4519,0.017421,0.070557
coronel,415,0.001600,0.010300
exercito,653,0.002517,0.015065
pandemia,437,0.001685,0.010759
advogado,315,0.001214,0.008153
barros,670,0.002583,0.015391
agentes,395,0.001523,0.009879
vacina,2463,0.009495,0.044219
tomou,363,0.001399,0.009197
mauro,2427,0.009356,0.043710
documento,311,0.001199,0.008064
covid,488,0.001881,0.011807
mulheres,361,0.001392,0.009154
ordens,1453,0.005601,0.029042
marielle,495,0.001908,0.011949
prendeu,335,0.001291,0.008591
familiares,301,0.001160,0.007843
dezembro,549,0.002116,0.013033
sergio,345,0.001330,0.008808
morte,323,0.001245,0.008328
fraude,1264,0.004873,0.025944
esposa,412,0.001588,0.010237
cartao,1718,0.006623,0.033229
quartafeira,1622,0.006253,0.031732
quarta,389,0.001500,0.009751
suposta,468,0.001804,0.011398
guilherme,330,0.001272,0.008482
prende,367,0.001415,0.009282
investigacao,943,0.003635,0.020420
operacao,3620,0.013956,0.059616
falsos,1450,0.005590,0.028994
milicias,348,0.001342,0.008873
investiga,959,0.003697,0.020704
passaporte,404,0.001557,0.010069
celulares,603,0.002325,0.014097
cartoes,715,0.002756,0.016246
buscas,923,0.003558,0.020063
apreensao,2061,0.007945,0.038417
cid,2875,0.011083,0.049901
exajudante,1422,0.005482,0.028541
max,311,0.001199,0.008064
ailton,636,0.002452,0.014738
inserir,337,0.001299,0.008634
indulto,374,0.001442,0.009432
adulteracao,503,0.001939,0.012111
falsificacao,642,0.002475,0.014854
venire,761,0.002934,0.017108
tenentecoronel,850,0.003277,0.018746
ajudante,305,0.001176,0.007932
insercao,677,0.002610,0.015525
mandados,1035,0.003990,0.022041
certificados,463,0.001785,0.011296
laura,584,0.002251,0.013725
apreendido,419,0.001615,0.010384
mandado,536,0.002066,0.012774
