Number of words,259395
Number of unique words,297
Average word frequency,873.383838
Entropy,5.231549

Word,Frequency,Proportion,Entropy Term
ministro,1294,0.004989,0.026442
lula,2757,0.010629,0.048298
globo,315,0.001214,0.008153
ver,353,0.001361,0.008981
bolsonaro,20031,0.077222,0.197771
sendo,656,0.002529,0.015123
povo,703,0.002710,0.016019
jair,4798,0.018497,0.073805
agrishow,463,0.001785,0.011296
evento,438,0.001689,0.010779
pessoas,1154,0.004449,0.024091
agora,1006,0.003878,0.021534
dinheiro,480,0.001850,0.011644
link,322,0.001241,0.008307
presidente,2586,0.009969,0.045941
historia,377,0.001453,0.009496
messias,387,0.001492,0.009709
pl,2455,0.009464,0.044106
camara,522,0.002012,0.012494
voce,487,0.001877,0.011786
nunca,607,0.002340,0.014175
acesso,332,0.001280,0.008525
imprensa,392,0.001511,0.009815
deputados,350,0.001349,0.008916
contra,3849,0.014838,0.062478
video,567,0.002186,0.013390
via,433,0.001669,0.010676
dia,1554,0.005991,0.030658
fez,649,0.002502,0.014989
brasil,2942,0.011342,0.050803
aqui,377,0.001453,0.009496
michelle,1316,0.005073,0.026806
deputado,649,0.002502,0.014989
news,673,0.002594,0.015449
maior,506,0.001951,0.012171
estado,857,0.003304,0.018874
direito,417,0.001608,0.010342
enquanto,420,0.001619,0.010404
preso,1481,0.005709,0.029493
dentro,356,0.001372,0.009046
so,893,0.003443,0.019525
governo,2065,0.007961,0.038476
ainda,1407,0.005424,0.028297
prisao,1566,0.006037,0.030849
dias,520,0.002005,0.012454
sobre,2521,0.009719,0.045034
disse,1026,0.003955,0.021884
ter,1180,0.004549,0.024532
fala,310,0.001195,0.008042
tambem,2009,0.007745,0.037646
justica,671,0.002587,0.015410
tudo,627,0.002417,0.014564
fatos,353,0.001361,0.008981
liberdade,418,0.001611,0.010363
federal,4945,0.019064,0.075491
preventiva,538,0.002074,0.012814
projeto,338,0.001303,0.008656
dois,521,0.002009,0.012474
sao,2005,0.007730,0.037586
paulo,926,0.003570,0.020117
ser,1830,0.007055,0.034950
brasileiro,483,0.001862,0.011705
aliados,310,0.001195,0.008042
estao,880,0.003393,0.019290
politico,420,0.001619,0.010404
vai,1203,0.004638,0.024921
vivo,352,0.001357,0.008960
expresidente,5536,0.021342,0.082104
onde,560,0.002159,0.013252
daniel,384,0.001480,0.009645
primeiro,359,0.001384,0.009111
publico,506,0.001951,0.012171
desde,497,0.001916,0.011989
lado,340,0.001311,0.008700
tarcisio,389,0.001500,0.009751
nesta,1636,0.006307,0.031952
brasileira,311,0.001199,0.008064
pais,1196,0.004611,0.024803
diz,1037,0.003998,0.022076
sempre,562,0.002167,0.013291
bem,458,0.001766,0.011193
supremo,851,0.003281,0.018765
tribunal,853,0.003288,0.018801
stf,1430,0.005513,0.028670
alexandre,1034,0.003986,0.022023
moraes,1467,0.005655,0.029268
defesa,518,0.001997,0.012413
celular,821,0.003165,0.018217
email,316,0.001218,0.008175
seguranca,383,0.001477,0.009624
decisao,387,0.001492,0.009709
segundo,1241,0.004784,0.025559
cadeia,361,0.001392,0.009154
urgente,383,0.001477,0.009624
fim,358,0.001380,0.009089
todos,1046,0.004032,0.022232
brasilia,1482,0.005713,0.029509
politica,1183,0.004561,0.024583
esquerda,358,0.001380,0.009089
direita,433,0.001669,0.010676
eleicoes,362,0.001396,0.009175
corrupcao,556,0.002143,0.013172
sera,600,0.002313,0.014038
ai,335,0.001291,0.008591
quer,423,0.001631,0.010467
grupo,803,0.003096,0.017886
pra,809,0.003119,0.017996
todo,553,0.002132,0.013113
vez,431,0.001662,0.010634
pt,611,0.002355,0.014253
novo,390,0.001503,0.009773
objetivo,402,0.001550,0.010026
mulher,500,0.001928,0.012050
apos,1292,0.004981,0.026409
milhoes,451,0.001739,0.011049
neste,333,0.001284,0.008547
conta,357,0.001376,0.009067
antes,417,0.001608,0.010342
poder,501,0.001931,0.012070
sistema,912,0.003516,0.019866
parte,617,0.002379,0.014370
outros,756,0.002914,0.017015
foto,413,0.001592,0.010258
assim,477,0.001839,0.011582
meio,343,0.001322,0.008765
gente,422,0.001627,0.010446
maio,489,0.001885,0.011827
r,919,0.003543,0.019992
salario,387,0.001492,0.009709
minimo,318,0.001226,0.008219
pode,848,0.003269,0.018710
redes,506,0.001951,0.012171
sociais,494,0.001904,0.011929
crimes,796,0.003069,0.017757
carlos,707,0.002726,0.016095
hoje,1123,0.004329,0.023562
deus,385,0.001484,0.009667
durante,1080,0.004164,0.022822
anos,1467,0.005655,0.029268
nome,518,0.001997,0.012413
porque,563,0.002170,0.013311
entrevista,333,0.001284,0.008547
ta,418,0.001611,0.010363
informacao,463,0.001785,0.011296
deve,523,0.002016,0.012514
veja,539,0.002078,0.012834
momento,363,0.001399,0.009197
marco,360,0.001388,0.009132
eua,518,0.001997,0.012413
faz,1019,0.003928,0.021761
mundo,478,0.001843,0.011603
desta,978,0.003770,0.021041
seis,762,0.002938,0.017127
trabalho,315,0.001214,0.008153
alvo,965,0.003720,0.020811
investigacoes,420,0.001619,0.010404
inquerito,507,0.001955,0.012192
crime,582,0.002244,0.013686
partido,383,0.001477,0.009624
armas,376,0.001450,0.009475
ano,699,0.002695,0.015943
afirmou,617,0.002379,0.014370
leia,555,0.002140,0.013152
saiba,383,0.001477,0.009624
passado,372,0.001434,0.009389
militar,649,0.002502,0.014989
entao,599,0.002309,0.014019
silveira,426,0.001642,0.010530
saude,1632,0.006292,0.031889
grande,459,0.001770,0.011213
vamos,358,0.001380,0.009089
republica,627,0.002417,0.014564
chefe,375,0.001446,0.009454
noticias,981,0.003782,0.021094
primeira,303,0.001168,0.007887
acao,708,0.002729,0.016114
luiz,450,0.001735,0.011028
silva,564,0.002174,0.013331
casa,2467,0.009511,0.044275
menos,303,0.001168,0.007887
tres,374,0.001442,0.009432
nada,463,0.001785,0.011296
manha,905,0.003489,0.019741
nacional,550,0.002120,0.013053
filha,1042,0.004017,0.022163
caso,1050,0.004048,0.022302
fato,367,0.001415,0.009282
outro,341,0.001315,0.008721
digitais,360,0.001388,0.009132
informacoes,673,0.002594,0.015449
vacinacao,4486,0.017294,0.070169
alem,744,0.002868,0.016791
outras,320,0.001234,0.008263
