Number of pairs,546387.000000
Number of unique pairs,11663
Average pair frequency,46.847895
Pair entropy,8.507256

Pair,Frequency,Proportion,Entropy Term,Mutual Information
lula ver,11.000000,0.000020,0.000218,0.330661
lula bolsonaro,443.000000,0.000811,0.005771,-0.012233
lula sendo,17.000000,0.000031,0.000323,0.146286
lula povo,36.000000,0.000066,0.000634,0.827395
lula jair,57.000000,0.000104,0.000956,-0.633670
lula agrishow,19.000000,0.000035,0.000357,0.605945
lula evento,14.000000,0.000026,0.000271,0.356072
lula pessoas,11.000000,0.000020,0.000218,-0.853861
lula agora,40.000000,0.000073,0.000697,0.574375
lula dinheiro,13.000000,0.000024,0.000253,0.190397
lula presidente,95.000000,0.000174,0.001505,0.495243
lula pl,42.000000,0.000077,0.000728,-0.268979
lula camara,30.000000,0.000055,0.000539,0.942763
lula voce,15.000000,0.000027,0.000288,0.319019
lula nunca,16.000000,0.000029,0.000306,0.163293
lula deputados,17.000000,0.000031,0.000323,0.774514
lula contra,45.000000,0.000082,0.000775,-0.649673
lula video,13.000000,0.000024,0.000253,0.023823
lula via,10.000000,0.000018,0.000200,0.031081
lula dia,68.000000,0.000124,0.001119,0.670154
lula fez,39.000000,0.000071,0.000681,0.987362
lula brasil,69.000000,0.000126,0.001134,0.046495
lula aqui,11.000000,0.000020,0.000218,0.264883
lula michelle,10.000000,0.000018,0.000200,-1.080534
lula deputado,13.000000,0.000024,0.000253,-0.111250
lula maior,12.000000,0.000022,0.000236,0.057603
lula estado,10.000000,0.000018,0.000200,-0.651619
lula direito,15.000000,0.000027,0.000288,0.474197
lula preso,20.000000,0.000037,0.000374,-0.505507
lula dentro,10.000000,0.000018,0.000200,0.226888
lula so,37.000000,0.000068,0.000650,0.615565
lula governo,56.000000,0.000102,0.000941,0.191700
lula ainda,44.000000,0.000081,0.000759,0.334208
lula prisao,12.000000,0.000022,0.000236,-1.072140
lula dias,17.000000,0.000031,0.000323,0.378618
lula sobre,44.000000,0.000081,0.000759,-0.248988
lula disse,28.000000,0.000051,0.000506,0.198015
lula ter,30.000000,0.000055,0.000539,0.127161
lula tambem,31.000000,0.000057,0.000555,-0.372172
lula justica,13.000000,0.000024,0.000253,-0.144586
lula liberdade,13.000000,0.000024,0.000253,0.328701
lula federal,28.000000,0.000051,0.000506,-1.374694
lula projeto,16.000000,0.000029,0.000306,0.748776
lula sao,26.000000,0.000048,0.000474,-0.546069
lula ser,33.000000,0.000060,0.000587,-0.216330
lula brasileiro,15.000000,0.000027,0.000288,0.327267
lula estao,10.000000,0.000018,0.000200,-0.678103
lula vai,63.000000,0.000115,0.001046,0.849794
lula expresidente,62.000000,0.000113,0.001031,-0.692660
lula primeiro,32.000000,0.000059,0.000571,1.381647
lula publico,21.000000,0.000038,0.000391,0.617219
lula lado,18.000000,0.000033,0.000340,0.860659
lula tarcisio,15.000000,0.000027,0.000288,0.543704
lula nesta,52.000000,0.000095,0.000881,0.350468
lula brasileira,15.000000,0.000027,0.000288,0.767491
lula pais,36.000000,0.000066,0.000634,0.296014
lula diz,31.000000,0.000057,0.000555,0.289133
lula sempre,13.000000,0.000024,0.000253,0.032681
lula stf,11.000000,0.000020,0.000218,-1.068301
lula alexandre,11.000000,0.000020,0.000218,-0.744061
lula moraes,19.000000,0.000035,0.000357,-0.547302
lula defesa,17.000000,0.000031,0.000323,0.382471
lula email,27.000000,0.000049,0.000490,1.339328
lula segundo,25.000000,0.000046,0.000457,-0.105564
lula cadeia,20.000000,0.000037,0.000374,0.906088
lula todos,27.000000,0.000049,0.000490,0.142342
lula brasilia,17.000000,0.000031,0.000323,-0.668701
lula politica,41.000000,0.000075,0.000713,0.436997
lula esquerda,18.000000,0.000033,0.000340,0.809072
lula direita,13.000000,0.000024,0.000253,0.293445
lula eleicoes,36.000000,0.000066,0.000634,1.491108
lula corrupcao,26.000000,0.000048,0.000474,0.736562
lula sera,12.000000,0.000022,0.000236,-0.112790
lula ai,11.000000,0.000020,0.000218,0.382998
lula quer,19.000000,0.000035,0.000357,0.696300
lula pra,35.000000,0.000064,0.000619,0.658782
lula todo,10.000000,0.000018,0.000200,-0.213540
lula vez,14.000000,0.000026,0.000271,0.372183
lula pt,257.000000,0.000470,0.003604,2.933212
lula novo,25.000000,0.000046,0.000457,1.051962
lula apos,33.000000,0.000060,0.000587,0.131794
lula milhoes,23.000000,0.000042,0.000424,0.823260
lula neste,21.000000,0.000038,0.000391,1.035613
lula conta,11.000000,0.000020,0.000218,0.319393
lula antes,13.000000,0.000024,0.000253,0.331096
lula poder,16.000000,0.000029,0.000306,0.355216
lula sistema,12.000000,0.000022,0.000236,-0.531500
lula meio,11.000000,0.000020,0.000218,0.359398
lula gente,14.000000,0.000026,0.000271,0.393285
lula maio,14.000000,0.000026,0.000271,0.245928
lula r,34.000000,0.000062,0.000603,0.502308
lula salario,45.000000,0.000082,0.000775,1.647471
lula minimo,25.000000,0.000046,0.000457,1.256058
lula pode,19.000000,0.000035,0.000357,0.000792
lula redes,20.000000,0.000037,0.000374,0.568429
lula sociais,17.000000,0.000031,0.000323,0.429911
lula carlos,15.000000,0.000027,0.000288,-0.053747
lula hoje,16.000000,0.000029,0.000306,-0.451937
lula deus,11.000000,0.000020,0.000218,0.243885
lula durante,10.000000,0.000018,0.000200,-0.882898
lula anos,22.000000,0.000040,0.000407,-0.400699
lula nome,12.000000,0.000022,0.000236,0.034165
lula porque,12.000000,0.000022,0.000236,-0.049140
lula ta,12.000000,0.000022,0.000236,0.248659
lula deve,17.000000,0.000031,0.000323,0.372865
lula veja,15.000000,0.000027,0.000288,0.217568
lula marco,35.000000,0.000064,0.000619,1.468477
lula faz,28.000000,0.000051,0.000506,0.204861
lula mundo,11.000000,0.000020,0.000218,0.027518
lula desta,17.000000,0.000031,0.000323,-0.253063
lula alvo,13.000000,0.000024,0.000253,-0.507945
lula ano,15.000000,0.000027,0.000288,-0.042367
lula afirmou,21.000000,0.000038,0.000391,0.418887
lula saiba,10.000000,0.000018,0.000200,0.153783
lula grande,13.000000,0.000024,0.000253,0.235132
lula republica,10.000000,0.000018,0.000200,-0.339128
lula noticias,13.000000,0.000024,0.000253,-0.524390
lula primeira,22.000000,0.000040,0.000407,1.176543
lula silva,262.000000,0.000480,0.003665,3.032524
lula casa,14.000000,0.000026,0.000271,-1.372467
lula nada,16.000000,0.000029,0.000306,0.434095
lula manha,12.000000,0.000022,0.000236,-0.523795
lula nacional,25.000000,0.000046,0.000457,0.708191
lula vacinacao,47.000000,0.000086,0.000805,-0.759336
lula janeiro,12.000000,0.000022,0.000236,-0.689403
lula mandato,13.000000,0.000024,0.000253,0.621180
lula mil,26.000000,0.000048,0.000474,0.479469
lula forma,12.000000,0.000022,0.000236,0.488082
lula sido,20.000000,0.000037,0.000374,0.278773
lula policia,27.000000,0.000049,0.000490,-1.096393
lula feito,12.000000,0.000022,0.000236,0.547568
lula fazer,10.000000,0.000018,0.000200,0.015044
lula registro,28.000000,0.000051,0.000506,1.170433
lula lei,15.000000,0.000027,0.000288,0.310839
lula ha,14.000000,0.000026,0.000271,-0.111360
lula ministerio,13.000000,0.000024,0.000253,-0.864206
lula pf,59.000000,0.000108,0.000986,-0.539275
lula vacina,11.000000,0.000020,0.000218,-1.612007
lula familiares,14.000000,0.000026,0.000271,0.731180
lula morte,61.000000,0.000112,0.001016,2.132455
lula cartao,13.000000,0.000024,0.000253,-1.084733
lula quartafeira,17.000000,0.000031,0.000323,-0.758969
lula operacao,40.000000,0.000073,0.000697,-0.706117
globo bolsonaro,75.000000,0.000137,0.001221,0.381011
globo jair,13.000000,0.000024,0.000253,0.057554
globo news,21.000000,0.000038,0.000391,2.501336
globo sobre,10.000000,0.000018,0.000200,0.438733
globo federal,12.000000,0.000022,0.000236,-0.052666
globo durante,12.000000,0.000022,0.000236,1.468749
globo seis,15.000000,0.000027,0.000288,2.040663
globo vacinacao,19.000000,0.000035,0.000357,0.504281
globo quatro,15.000000,0.000027,0.000288,2.889712
globo presos,15.000000,0.000027,0.000288,2.484247
globo sido,32.000000,0.000059,0.000571,2.918102
globo policia,10.000000,0.000018,0.000200,0.079681
globo pf,15.000000,0.000027,0.000288,0.260563
globo fraude,10.000000,0.000018,0.000200,1.129108
globo operacao,15.000000,0.000027,0.000288,0.482380
globo certificados,34.000000,0.000062,0.000603,3.357193
ver lula,10.000000,0.000018,0.000200,0.235350
ver bolsonaro,84.000000,0.000154,0.001350,0.380444
ver jair,10.000000,0.000018,0.000200,-0.318706
ver agora,20.000000,0.000037,0.000374,1.936659
ver preso,12.000000,0.000022,0.000236,1.039098
ver federal,19.000000,0.000035,0.000357,0.292970
ver vai,10.000000,0.000018,0.000200,1.064675
ver expresidente,10.000000,0.000018,0.000200,-0.461779
ver vacinacao,14.000000,0.000026,0.000271,0.085004
ver policia,19.000000,0.000035,0.000357,0.607640
bolsonaro ministro,182.000000,0.000333,0.002667,-0.145391
bolsonaro lula,522.000000,0.000955,0.006643,0.151865
bolsonaro globo,44.000000,0.000081,0.000759,-0.152288
bolsonaro ver,103.000000,0.000189,0.001617,0.584356
bolsonaro sendo,194.000000,0.000355,0.002820,0.597793
bolsonaro povo,138.000000,0.000253,0.002092,0.187992
bolsonaro jair,361.000000,0.000661,0.004838,-0.770981
bolsonaro agrishow,245.000000,0.000448,0.003457,1.179627
bolsonaro evento,124.000000,0.000227,0.001904,0.554158
bolsonaro pessoas,202.000000,0.000370,0.002922,0.073374
bolsonaro agora,185.000000,0.000339,0.002706,0.122714
bolsonaro dinheiro,65.000000,0.000119,0.001075,-0.183303
bolsonaro link,26.000000,0.000048,0.000474,-0.700360
bolsonaro presidente,477.000000,0.000873,0.006149,0.125744
bolsonaro historia,71.000000,0.000130,0.001163,0.146530
bolsonaro messias,36.000000,0.000066,0.000634,-0.558810
bolsonaro pl,1644.000000,0.003009,0.017470,1.415101
bolsonaro camara,73.000000,0.000134,0.001192,-0.151113
bolsonaro voce,103.000000,0.000189,0.001617,0.262560
bolsonaro nunca,158.000000,0.000289,0.002356,0.470162
bolsonaro acesso,46.000000,0.000084,0.000790,-0.160398
bolsonaro imprensa,56.000000,0.000102,0.000941,-0.129815
bolsonaro deputados,30.000000,0.000055,0.000539,-0.640640
bolsonaro contra,463.000000,0.000847,0.005994,-0.301746
bolsonaro video,147.000000,0.000269,0.002212,0.466169
bolsonaro via,74.000000,0.000135,0.001206,0.049423
bolsonaro dia,224.000000,0.000410,0.003198,-0.120846
bolsonaro fez,152.000000,0.000278,0.002278,0.364543
bolsonaro brasil,496.000000,0.000908,0.006359,0.035826
bolsonaro aqui,38.000000,0.000070,0.000666,-0.478564
bolsonaro michelle,584.000000,0.001069,0.007312,1.003644
bolsonaro deputado,168.000000,0.000307,0.002487,0.464627
bolsonaro news,80.000000,0.000146,0.001293,-0.313623
bolsonaro maior,81.000000,0.000148,0.001307,-0.015992
bolsonaro estado,95.000000,0.000174,0.001505,-0.383466
bolsonaro direito,38.000000,0.000070,0.000666,-0.579405
bolsonaro enquanto,67.000000,0.000123,0.001104,-0.019467
bolsonaro preso,702.000000,0.001285,0.008553,1.069556
bolsonaro dentro,17.000000,0.000031,0.000323,-1.225622
bolsonaro so,199.000000,0.000364,0.002884,0.314814
bolsonaro governo,228.000000,0.000417,0.003247,-0.387444
bolsonaro ainda,196.000000,0.000359,0.002846,-0.155005
bolsonaro prisao,353.000000,0.000646,0.004745,0.326284
bolsonaro dias,52.000000,0.000095,0.000881,-0.486490
bolsonaro sobre,486.000000,0.000889,0.006248,0.169893
bolsonaro disse,262.000000,0.000480,0.003665,0.451017
bolsonaro ter,271.000000,0.000496,0.003774,0.344945
bolsonaro fala,103.000000,0.000189,0.001617,0.714252
bolsonaro tambem,484.000000,0.000886,0.006226,0.392788
bolsonaro justica,108.000000,0.000198,0.001686,-0.010543
bolsonaro tudo,116.000000,0.000212,0.001796,0.128739
bolsonaro fatos,56.000000,0.000102,0.000941,-0.025021
bolsonaro liberdade,52.000000,0.000095,0.000881,-0.268142
bolsonaro federal,789.000000,0.001444,0.009444,-0.019271
bolsonaro projeto,27.000000,0.000049,0.000490,-0.711114
bolsonaro dois,98.000000,0.000179,0.001547,0.145313
bolsonaro sao,356.000000,0.000652,0.004780,0.087627
bolsonaro paulo,155.000000,0.000284,0.002317,0.028646
bolsonaro ser,384.000000,0.000703,0.005103,0.254667
bolsonaro brasileiro,71.000000,0.000130,0.001163,-0.101241
bolsonaro aliados,148.000000,0.000271,0.002225,1.076735
bolsonaro estao,185.000000,0.000339,0.002706,0.256529
bolsonaro politico,48.000000,0.000088,0.000821,-0.352958
bolsonaro vai,393.000000,0.000719,0.005206,0.697331
bolsonaro vivo,90.000000,0.000165,0.001435,0.452274
bolsonaro expresidente,805.000000,0.001473,0.009606,-0.112090
bolsonaro onde,67.000000,0.000123,0.001104,-0.307149
bolsonaro daniel,231.000000,0.000423,0.003284,1.307871
bolsonaro primeiro,57.000000,0.000104,0.000956,-0.024176
bolsonaro publico,49.000000,0.000090,0.000836,-0.518621
bolsonaro desde,70.000000,0.000128,0.001148,-0.143999
bolsonaro lado,49.000000,0.000090,0.000836,-0.121030
bolsonaro tarcisio,164.000000,0.000300,0.002435,0.952382
bolsonaro nesta,331.000000,0.000606,0.004488,0.218204
bolsonaro brasileira,30.000000,0.000055,0.000539,-0.522500
bolsonaro pais,163.000000,0.000298,0.002422,-0.176892
bolsonaro diz,322.000000,0.000589,0.004383,0.646560
bolsonaro sempre,160.000000,0.000293,0.002382,0.559767
bolsonaro bem,74.000000,0.000135,0.001206,-0.006709
bolsonaro supremo,73.000000,0.000134,0.001192,-0.639857
bolsonaro tribunal,58.000000,0.000106,0.000971,-0.872221
bolsonaro stf,163.000000,0.000298,0.002422,-0.355584
bolsonaro alexandre,163.000000,0.000298,0.002422,-0.031344
bolsonaro moraes,211.000000,0.000386,0.003035,-0.123021
bolsonaro defesa,82.000000,0.000150,0.001321,-0.027161
bolsonaro celular,217.000000,0.000397,0.003110,0.485470
bolsonaro email,134.000000,0.000245,0.002039,0.958193
bolsonaro seguranca,19.000000,0.000035,0.000357,-1.187501
bolsonaro decisao,57.000000,0.000104,0.000956,-0.099278
bolsonaro segundo,236.000000,0.000432,0.003346,0.156254
bolsonaro cadeia,134.000000,0.000245,0.002039,0.825057
bolsonaro urgente,114.000000,0.000209,0.001768,0.604259
bolsonaro fim,72.000000,0.000132,0.001177,0.212229
bolsonaro todos,242.000000,0.000443,0.003420,0.352304
bolsonaro brasilia,445.000000,0.000814,0.005793,0.613022
bolsonaro politica,218.000000,0.000399,0.003123,0.124782
bolsonaro esquerda,60.000000,0.000110,0.001001,0.029907
bolsonaro direita,81.000000,0.000148,0.001307,0.139807
bolsonaro eleicoes,62.000000,0.000113,0.001031,0.051586
bolsonaro corrupcao,53.000000,0.000097,0.000896,-0.534381
bolsonaro sera,160.000000,0.000293,0.002382,0.494340
bolsonaro ai,62.000000,0.000113,0.001031,0.129099
bolsonaro quer,86.000000,0.000157,0.001378,0.223071
bolsonaro grupo,90.000000,0.000165,0.001435,-0.372450
bolsonaro pra,136.000000,0.000249,0.002066,0.032951
bolsonaro todo,80.000000,0.000146,0.001293,-0.117236
bolsonaro vez,78.000000,0.000143,0.001264,0.106696
bolsonaro pt,67.000000,0.000123,0.001104,-0.394309
bolsonaro novo,44.000000,0.000081,0.000759,-0.365862
bolsonaro objetivo,34.000000,0.000062,0.000603,-0.653996
bolsonaro mulher,133.000000,0.000243,0.002025,0.491836
bolsonaro apos,296.000000,0.000542,0.004074,0.342508
bolsonaro milhoes,63.000000,0.000115,0.001046,-0.152237
bolsonaro neste,60.000000,0.000110,0.001001,0.102297
bolsonaro conta,45.000000,0.000082,0.000775,-0.254978
bolsonaro antes,75.000000,0.000137,0.001221,0.100497
bolsonaro poder,84.000000,0.000154,0.001350,0.030306
bolsonaro sistema,135.000000,0.000247,0.002052,-0.094270
bolsonaro parte,94.000000,0.000172,0.001491,-0.065479
bolsonaro outros,117.000000,0.000214,0.001809,-0.049772
bolsonaro foto,72.000000,0.000132,0.001177,0.069314
bolsonaro assim,49.000000,0.000090,0.000836,-0.459601
bolsonaro meio,50.000000,0.000092,0.000851,-0.109612
bolsonaro gente,57.000000,0.000104,0.000956,-0.185859
bolsonaro maio,37.000000,0.000068,0.000650,-0.765349
bolsonaro r,92.000000,0.000168,0.001463,-0.485402
bolsonaro salario,45.000000,0.000082,0.000775,-0.335667
bolsonaro minimo,22.000000,0.000040,0.000407,-0.854914
bolsonaro pode,179.000000,0.000328,0.002629,0.260601
bolsonaro redes,73.000000,0.000134,0.001192,-0.119982
bolsonaro sociais,55.000000,0.000101,0.000926,-0.379107
bolsonaro crimes,137.000000,0.000251,0.002079,0.056477
bolsonaro carlos,71.000000,0.000130,0.001163,-0.482255
bolsonaro hoje,336.000000,0.000615,0.004547,0.609448
bolsonaro deus,83.000000,0.000152,0.001336,0.281693
bolsonaro durante,226.000000,0.000414,0.003222,0.251914
bolsonaro anos,311.000000,0.000569,0.004253,0.264914
bolsonaro nome,90.000000,0.000165,0.001435,0.065930
bolsonaro porque,104.000000,0.000190,0.001631,0.127207
bolsonaro entrevista,91.000000,0.000167,0.001449,0.518812
bolsonaro ta,96.000000,0.000176,0.001519,0.344962
bolsonaro informacao,59.000000,0.000108,0.000986,-0.244094
bolsonaro deve,238.000000,0.000436,0.003371,1.028785
bolsonaro veja,170.000000,0.000311,0.002513,0.662178
bolsonaro momento,78.000000,0.000143,0.001264,0.278401
bolsonaro marco,41.000000,0.000075,0.000713,-0.356437
bolsonaro eua,142.000000,0.000260,0.002145,0.521947
bolsonaro faz,275.000000,0.000503,0.003822,0.506289
bolsonaro mundo,77.000000,0.000141,0.001250,-0.009710
bolsonaro desta,178.000000,0.000326,0.002616,0.112369
bolsonaro seis,84.000000,0.000154,0.001350,-0.389034
bolsonaro trabalho,14.000000,0.000026,0.000271,-1.297420
bolsonaro alvo,599.000000,0.001096,0.007472,1.339229
bolsonaro investigacoes,67.000000,0.000123,0.001104,-0.019467
bolsonaro inquerito,65.000000,0.000119,0.001075,-0.238028
bolsonaro crime,126.000000,0.000231,0.001931,0.285907
bolsonaro partido,47.000000,0.000086,0.000805,-0.281792
bolsonaro armas,32.000000,0.000059,0.000571,-0.647758
bolsonaro ano,87.000000,0.000159,0.001392,-0.267647
bolsonaro afirmou,140.000000,0.000256,0.002119,0.332869
bolsonaro leia,93.000000,0.000170,0.001477,0.029727
bolsonaro saiba,116.000000,0.000212,0.001796,0.621651
bolsonaro passado,31.000000,0.000057,0.000555,-0.668811
bolsonaro militar,100.000000,0.000183,0.001575,-0.054167
bolsonaro entao,82.000000,0.000150,0.001321,-0.172447
bolsonaro silveira,236.000000,0.000432,0.003346,1.225488
bolsonaro saude,89.000000,0.000163,0.001421,-1.092830
bolsonaro grande,86.000000,0.000157,0.001378,0.141392
bolsonaro vamos,81.000000,0.000148,0.001307,0.330012
bolsonaro republica,66.000000,0.000121,0.001090,-0.435196
bolsonaro chefe,53.000000,0.000097,0.000896,-0.140539
bolsonaro noticias,128.000000,0.000234,0.001958,-0.220447
bolsonaro primeira,74.000000,0.000135,0.001206,0.406428
bolsonaro acao,176.000000,0.000322,0.002590,0.424135
bolsonaro luiz,53.000000,0.000097,0.000896,-0.322860
bolsonaro silva,27.000000,0.000049,0.000490,-1.223122
bolsonaro casa,355.000000,0.000650,0.004768,-0.122545
bolsonaro menos,52.000000,0.000095,0.000881,0.053606
bolsonaro tres,70.000000,0.000128,0.001148,0.140335
bolsonaro nada,72.000000,0.000132,0.001177,-0.044966
bolsonaro manha,207.000000,0.000379,0.002985,0.340879
bolsonaro nacional,58.000000,0.000106,0.000971,-0.433380
bolsonaro filha,447.000000,0.000818,0.005815,0.969757
bolsonaro caso,107.000000,0.000196,0.001672,-0.467621
bolsonaro fato,92.000000,0.000168,0.001463,0.432522
bolsonaro outro,85.000000,0.000156,0.001364,0.426864
bolsonaro digitais,10.000000,0.000018,0.000200,-1.767424
bolsonaro informacoes,90.000000,0.000165,0.001435,-0.195840
bolsonaro vacinacao,516.000000,0.000944,0.006578,-0.346515
bolsonaro alem,130.000000,0.000238,0.001985,0.071589
bolsonaro outras,55.000000,0.000101,0.000926,0.055108
bolsonaro apenas,62.000000,0.000113,0.001031,-0.226381
bolsonaro unidos,170.000000,0.000311,0.002513,0.174247
bolsonaro rio,78.000000,0.000143,0.001264,-0.677322
bolsonaro janeiro,67.000000,0.000123,0.001104,-0.952755
bolsonaro busca,424.000000,0.000776,0.005557,0.215184
bolsonaro mandato,63.000000,0.000115,0.001046,0.216227
bolsonaro verdade,60.000000,0.000110,0.001001,-0.320041
bolsonaro quatro,42.000000,0.000077,0.000728,-0.233132
bolsonaro mil,107.000000,0.000196,0.001672,-0.088937
bolsonaro golpe,104.000000,0.000190,0.001631,0.202819
bolsonaro joias,51.000000,0.000093,0.000866,-0.032822
bolsonaro relacao,22.000000,0.000040,0.000407,-1.069213
bolsonaro presos,162.000000,0.000296,0.002409,0.711329
bolsonaro estados,202.000000,0.000370,0.002922,0.281680
bolsonaro atos,43.000000,0.000079,0.000744,-0.168908
bolsonaro forma,48.000000,0.000088,0.000821,-0.108761
bolsonaro democracia,37.000000,0.000068,0.000650,-0.347538
bolsonaro toda,48.000000,0.000088,0.000821,-0.184821
bolsonaro criminosa,22.000000,0.000040,0.000407,-1.217546
bolsonaro metropoles,29.000000,0.000053,0.000522,-0.615701
bolsonaro motivo,42.000000,0.000077,0.000728,-0.182807
bolsonaro sido,140.000000,0.000256,0.002119,0.241545
bolsonaro policia,843.000000,0.001543,0.009989,0.361599
bolsonaro feito,57.000000,0.000104,0.000956,0.122574
bolsonaro barbosa,263.000000,0.000481,0.003677,1.165673
bolsonaro fazer,62.000000,0.000113,0.001031,-0.143545
bolsonaro registro,70.000000,0.000128,0.001148,0.103585
bolsonaro medida,43.000000,0.000079,0.000744,-0.277776
bolsonaro gabinete,49.000000,0.000090,0.000836,-0.286046
bolsonaro lei,41.000000,0.000075,0.000713,-0.666777
bolsonaro familia,122.000000,0.000223,0.001877,0.306568
bolsonaro flavio,54.000000,0.000099,0.000911,0.027427
bolsonaro vacinas,51.000000,0.000093,0.000866,-0.020400
bolsonaro policiais,145.000000,0.000265,0.002185,0.612812
bolsonaro exprimeiradama,131.000000,0.000240,0.001999,0.796890
bolsonaro qualquer,90.000000,0.000165,0.001435,0.299748
bolsonaro ha,122.000000,0.000223,0.001877,0.070466
bolsonaro dados,304.000000,0.000556,0.004170,-0.203184
bolsonaro entrar,61.000000,0.000112,0.001016,0.103923
bolsonaro sistemas,13.000000,0.000024,0.000253,-2.410177
bolsonaro associacao,19.000000,0.000035,0.000357,-1.131110
bolsonaro ministerio,70.000000,0.000128,0.001148,-1.163798
bolsonaro suspeito,63.000000,0.000115,0.001046,-0.004349
bolsonaro esquema,121.000000,0.000221,0.001864,0.375516
bolsonaro acordo,65.000000,0.000119,0.001075,-0.151555
bolsonaro suspeita,80.000000,0.000146,0.001293,0.189309
bolsonaro fake,52.000000,0.000095,0.000881,-0.073303
bolsonaro depoimento,145.000000,0.000265,0.002185,0.604565
bolsonaro apura,43.000000,0.000079,0.000744,-0.362876
bolsonaro pf,1297.000000,0.002374,0.014345,0.567859
bolsonaro coronel,130.000000,0.000238,0.001985,0.655351
bolsonaro exercito,109.000000,0.000199,0.001700,0.025866
bolsonaro pandemia,62.000000,0.000113,0.001031,-0.136703
bolsonaro advogado,54.000000,0.000099,0.000911,0.052507
bolsonaro barros,105.000000,0.000192,0.001644,-0.037222
bolsonaro agentes,80.000000,0.000146,0.001293,0.219236
bolsonaro vacina,680.000000,0.001245,0.008325,0.529053
bolsonaro tomou,157.000000,0.000287,0.002343,0.977938
bolsonaro mauro,1095.000000,0.002004,0.012450,1.020194
bolsonaro documento,40.000000,0.000073,0.000697,-0.234818
bolsonaro covid,66.000000,0.000121,0.001090,-0.184565
bolsonaro mulheres,39.000000,0.000071,0.000681,-0.409221
bolsonaro ordens,251.000000,0.000459,0.003531,0.060163
bolsonaro marielle,61.000000,0.000112,0.001016,-0.277588
bolsonaro prendeu,103.000000,0.000189,0.001617,0.636694
bolsonaro familiares,197.000000,0.000361,0.002858,1.392189
bolsonaro dezembro,59.000000,0.000108,0.000986,-0.414466
bolsonaro sergio,54.000000,0.000099,0.000911,-0.038465
bolsonaro morte,28.000000,0.000051,0.000506,-0.629352
bolsonaro fraude,324.000000,0.000593,0.004406,0.454802
bolsonaro esposa,119.000000,0.000218,0.001836,0.574196
bolsonaro cartao,490.000000,0.000897,0.006293,0.561585
bolsonaro quartafeira,294.000000,0.000538,0.004050,0.108260
bolsonaro quarta,46.000000,0.000084,0.000790,-0.318843
bolsonaro suposta,101.000000,0.000185,0.001589,0.282748
bolsonaro guilherme,62.000000,0.000113,0.001031,0.144137
bolsonaro prende,238.000000,0.000436,0.003371,1.383004
