Number of pairs,546387.000000
Number of unique pairs,11663
Average pair frequency,46.847895
Pair entropy,8.507256

Pair,Frequency,Proportion,Entropy Term,Mutual Information
ministro lula,59.000000,0.000108,0.000986,0.711277
ministro bolsonaro,62.000000,0.000113,0.001031,-1.222264
ministro jair,11.000000,0.000020,0.000218,-1.522421
ministro presidente,23.000000,0.000042,0.000424,-0.166735
ministro dentro,81.000000,0.000148,0.001307,3.075157
ministro governo,23.000000,0.000042,0.000424,0.058247
ministro ainda,13.000000,0.000024,0.000253,-0.128627
ministro sobre,22.000000,0.000040,0.000407,-0.185730
ministro disse,20.000000,0.000037,0.000374,0.617948
ministro tambem,22.000000,0.000040,0.000407,0.041288
ministro justica,84.000000,0.000154,0.001350,2.477686
ministro fatos,11.000000,0.000020,0.000218,1.087065
ministro federal,302.000000,0.000553,0.004146,1.759933
ministro ser,20.000000,0.000037,0.000374,0.039299
ministro estao,16.000000,0.000029,0.000306,0.548305
ministro expresidente,24.000000,0.000044,0.000441,-0.885335
ministro diz,14.000000,0.000026,0.000271,0.250608
ministro supremo,316.000000,0.000578,0.004312,3.564968
ministro tribunal,305.000000,0.000558,0.004181,3.527191
ministro stf,246.000000,0.000450,0.003469,2.795540
ministro alexandre,676.000000,0.001237,0.008283,4.130641
ministro moraes,616.000000,0.001127,0.007653,3.687910
ministro defesa,13.000000,0.000024,0.000253,0.870612
ministro seguranca,22.000000,0.000040,0.000407,1.698646
ministro decisao,15.000000,0.000027,0.000288,1.305264
ministro segundo,11.000000,0.000020,0.000218,-0.170139
ministro apos,10.000000,0.000018,0.000200,-0.305723
ministro parte,10.000000,0.000018,0.000200,0.433354
ministro carlos,36.000000,0.000066,0.000634,1.578127
ministro faz,11.000000,0.000020,0.000218,0.026957
ministro investigacoes,12.000000,0.000022,0.000236,1.000290
ministro inquerito,83.000000,0.000152,0.001336,2.745968
ministro armas,15.000000,0.000027,0.000288,1.334099
ministro afirmou,14.000000,0.000026,0.000271,0.769827
ministro luiz,12.000000,0.000022,0.000236,0.931297
ministro casa,10.000000,0.000018,0.000200,-0.952535
ministro caso,15.000000,0.000027,0.000288,0.307143
ministro busca,12.000000,0.000022,0.000236,-0.610100
ministro policia,16.000000,0.000029,0.000306,-0.863236
ministro flavio,54.000000,0.000099,0.000911,2.766970
ministro policiais,18.000000,0.000033,0.000340,1.265993
ministro pf,34.000000,0.000062,0.000603,-0.334047
ministro ordens,15.000000,0.000027,0.000288,-0.017697
ministro investigacao,20.000000,0.000037,0.000374,0.702304
ministro operacao,27.000000,0.000049,0.000490,-0.342754
ministro milicias,75.000000,0.000137,0.001221,3.020924
ministro passaporte,20.000000,0.000037,0.000374,1.549956
ministro apreensao,38.000000,0.000070,0.000666,0.562278
ministro mandados,13.000000,0.000024,0.000253,0.178431
lula ministro,31.000000,0.000057,0.000555,0.067727
