Number of words,302918
Number of unique words,374
Average word frequency,809.941176
Entropy,5.507003

Word,Frequency,Proportion,Entropy Term
governo,6429,0.021224,0.081767
brasil,5172,0.017074,0.069494
florida,396,0.001307,0.008680
presidente,5767,0.019038,0.075416
bolsonaro,17047,0.056276,0.161933
brasileiros,737,0.002433,0.014643
veja,560,0.001849,0.011634
porque,683,0.002255,0.013742
alem,821,0.002710,0.016020
tambem,2353,0.007768,0.037734
posse,2538,0.008379,0.040067
presidencial,484,0.001598,0.010288
lula,9053,0.029886,0.104911
noticias,825,0.002724,0.016085
pode,869,0.002869,0.016793
ser,2591,0.008553,0.040727
preso,427,0.001410,0.009253
general,547,0.001806,0.011407
alvorada,422,0.001393,0.009161
tudo,953,0.003146,0.018126
manifestantes,1092,0.003605,0.020279
tv,323,0.001066,0.007297
fez,783,0.002585,0.015401
discurso,612,0.002020,0.012535
direito,451,0.001489,0.009692
todos,1859,0.006137,0.031258
agora,1577,0.005206,0.027373
decretos,453,0.001495,0.009728
dia,1926,0.006358,0.032160
anos,2077,0.006857,0.034163
qualquer,432,0.001426,0.009345
valor,577,0.001905,0.011931
aqui,467,0.001542,0.009982
trabalho,578,0.001908,0.011948
conta,397,0.001311,0.008699
redes,1055,0.003483,0.019712
sociais,1149,0.003793,0.021145
dentro,346,0.001142,0.007738
instagram,312,0.001030,0.007084
twitter,523,0.001727,0.010984
psol,613,0.002024,0.012552
nesta,1020,0.003367,0.019172
segundafeira,603,0.001991,0.012380
pedido,546,0.001802,0.011389
prisao,1109,0.003661,0.020539
preventiva,410,0.001354,0.008940
expresidente,3686,0.012168,0.053649
jair,5033,0.016615,0.068079
pl,2427,0.008012,0.038673
junto,302,0.000997,0.006890
supremo,1101,0.003635,0.020417
tribunal,1155,0.003813,0.021235
federal,3465,0.011439,0.051140
stf,1682,0.005553,0.028838
partido,767,0.002532,0.015138
contra,1919,0.006335,0.032066
democracia,1116,0.003684,0.020645
economia,382,0.001261,0.008419
paulo,769,0.002539,0.015171
ministerio,1348,0.004450,0.024096
deus,466,0.001538,0.009964
vida,568,0.001875,0.011774
primeira,551,0.001819,0.011477
michelle,452,0.001492,0.009710
familia,643,0.002123,0.013065
vamos,682,0.002251,0.013725
estados,802,0.002648,0.015711
unidos,648,0.002139,0.013150
hoje,1066,0.003519,0.019881
exercito,702,0.002317,0.014061
luiz,1355,0.004473,0.024198
inacio,1265,0.004176,0.022878
silva,1694,0.005592,0.029004
pt,1882,0.006213,0.031569
assinou,385,0.001271,0.008475
neste,1042,0.003440,0.019512
domingo,1424,0.004701,0.025197
logo,354,0.001169,0.007891
apos,2019,0.006665,0.033398
medidas,694,0.002291,0.013927
area,413,0.001363,0.008995
