Number of words,302918
Number of unique words,374
Average word frequency,809.941176
Entropy,5.507003

Word,Frequency,Proportion,Entropy Term
ministros,528,0.001743,0.011072
programa,515,0.001700,0.010842
medida,845,0.002790,0.016408
petrobras,450,0.001486,0.009674
processo,469,0.001548,0.010018
sob,380,0.001254,0.008381
uniao,797,0.002631,0.015630
deve,701,0.002314,0.014044
empresa,317,0.001046,0.007181
brasileira,732,0.002416,0.014560
nacional,2255,0.007444,0.036479
entao,573,0.001892,0.011861
ministro,2199,0.007259,0.035756
carlos,374,0.001235,0.008268
defesa,467,0.001542,0.009982
mourao,389,0.001284,0.008550
apoiadores,1270,0.004193,0.022952
apenas,578,0.001908,0.011948
acao,476,0.001571,0.010145
deste,575,0.001898,0.011896
sigilo,750,0.002476,0.014858
documentos,396,0.001307,0.008680
anistia,346,0.001142,0.007738
haddad,399,0.001317,0.008736
crimes,630,0.002080,0.012844
armas,1318,0.004351,0.023658
povo,1410,0.004655,0.024995
brasileiro,828,0.002733,0.016133
lei,676,0.002232,0.013624
desse,341,0.001126,0.007643
decreto,1294,0.004272,0.023306
voces,343,0.001132,0.007681
durante,1431,0.004724,0.025298
sobre,2400,0.007923,0.038331
informacoes,643,0.002123,0.013065
administracao,312,0.001030,0.007084
publica,975,0.003219,0.018471
moraes,606,0.002001,0.012432
quer,443,0.001462,0.009546
link,349,0.001152,0.007795
novo,1624,0.005361,0.028031
diz,906,0.002991,0.017384
menos,460,0.001519,0.009855
impostos,514,0.001697,0.010824
vai,1852,0.006114,0.031164
atos,1530,0.005051,0.026710
dados,386,0.001274,0.008494
seguranca,1257,0.004150,0.022760
fazer,807,0.002664,0.015792
feito,352,0.001162,0.007853
santos,351,0.001159,0.007834
eua,773,0.002552,0.015237
politica,1468,0.004846,0.025828
messias,409,0.001350,0.008921
toda,404,0.001334,0.008829
poder,935,0.003087,0.017843
estao,1131,0.003734,0.020873
direita,537,0.001773,0.011231
deu,366,0.001208,0.008118
dias,1183,0.003905,0.021657
cada,323,0.001066,0.007297
leia,624,0.002060,0.012741
grande,653,0.002156,0.013235
fim,669,0.002209,0.013506
ainda,1722,0.005685,0.029390
frente,810,0.002674,0.015841
desta,423,0.001396,0.009180
alguns,364,0.001202,0.008080
enquanto,444,0.001466,0.009565
outros,647,0.002136,0.013133
casa,760,0.002509,0.015023
grupo,833,0.002750,0.016214
pessoas,1187,0.003919,0.021717
estado,1007,0.003324,0.018970
brasilia,2314,0.007639,0.037236
disse,1671,0.005516,0.028685
sao,1902,0.006279,0.031838
petista,537,0.001773,0.011231
muitos,339,0.001119,0.007605
hora,326,0.001076,0.007355
nome,336,0.001109,0.007547
foto,485,0.001601,0.010306
news,457,0.001509,0.009801
cargo,684,0.002258,0.013759
republica,979,0.003232,0.018534
momento,544,0.001796,0.011354
sistema,337,0.001113,0.007566
tempo,532,0.001756,0.011143
lado,350,0.001155,0.007814
ai,332,0.001096,0.007470
acoes,524,0.001730,0.011001
presidencia,652,0.002152,0.013218
sociedade,344,0.001136,0.007700
civil,406,0.001340,0.008866
quatro,496,0.001637,0.010503
janeiro,797,0.002631,0.015630
politicas,538,0.001776,0.011248
publicas,348,0.001149,0.007776
parte,998,0.003295,0.018830
acabar,312,0.001030,0.007084
novos,353,0.001165,0.007872
pandemia,341,0.001126,0.007643
todo,700,0.002311,0.014027
pais,1737,0.005734,0.029596
diante,304,0.001004,0.006929
diario,370,0.001221,0.008193
oficial,478,0.001578,0.010181
volta,469,0.001548,0.010018
ter,1167,0.003853,0.021416
verdade,316,0.001043,0.007162
social,576,0.001902,0.011913
apoio,477,0.001575,0.010163
atual,442,0.001459,0.009528
planalto,1406,0.004642,0.024938
liberdade,366,0.001208,0.008118
dois,538,0.001776,0.011248
primeiro,931,0.003073,0.017780
faixa,515,0.001700,0.010842
camara,398,0.001314,0.008717
deputados,525,0.001733,0.011019
deixou,370,0.001221,0.008193
faz,497,0.001641,0.010521
antidemocraticos,368,0.001215,0.008155
militar,751,0.002479,0.014875
eleicao,486,0.001604,0.010324
golpe,501,0.001654,0.010593
instituicoes,315,0.001040,0.007143
eleicoes,813,0.002684,0.015890
via,511,0.001687,0.010771
fala,358,0.001182,0.007966
sigilos,386,0.001274,0.008494
federais,465,0.001535,0.009946
secretaria,553,0.001826,0.011512
cultura,331,0.001093,0.007451
esquerda,553,0.001826,0.011512
sera,1202,0.003968,0.021941
fundo,401,0.001324,0.008773
amazonia,353,0.001165,0.007872
meio,706,0.002331,0.014128
ambiente,342,0.001129,0.007662
jornal,519,0.001713,0.010913
ato,486,0.001604,0.010324
df,578,0.001908,0.011948
acesso,503,0.001661,0.010628
tarde,492,0.001624,0.010432
mercado,355,0.001172,0.007910
so,1145,0.003780,0.021085
vao,380,0.001254,0.008381
antes,858,0.002832,0.016617
imprensa,305,0.001007,0.006948
mandato,617,0.002037,0.012621
alexandre,558,0.001842,0.011599
salario,463,0.001528,0.009910
minimo,361,0.001192,0.008023
desoneracao,301,0.000994,0.006870
combustiveis,637,0.002103,0.012963
justica,1180,0.003895,0.021612
manifestacoes,367,0.001212,0.008137
ultimo,419,0.001383,0.009106
resultado,441,0.001456,0.009510
havia,411,0.001357,0.008958
sido,483,0.001594,0.010270
assim,556,0.001835,0.011564
sempre,615,0.002030,0.012587
sendo,689,0.002275,0.013843
bolsonaristas,1068,0.003526,0.019912
ano,1002,0.003308,0.018893
eleitoral,495,0.001634,0.010485
politico,541,0.001786,0.011301
uso,411,0.001357,0.008958
decisao,378,0.001248,0.008344
todas,594,0.001961,0.012225
podem,324,0.001070,0.007317
dezembro,598,0.001974,0.012294
ministerios,561,0.001852,0.011652
nunca,500,0.001651,0.010575
video,816,0.002694,0.015939
governador,656,0.002166,0.013286
deixa,374,0.001235,0.008268
situacao,309,0.001020,0.007026
gestao,939,0.003100,0.017906
afirmou,986,0.003255,0.018643
saude,694,0.002291,0.013927
plano,320,0.001056,0.007239
forma,618,0.002040,0.012638
deixar,304,0.001004,0.006929
la,357,0.001179,0.007947
publico,604,0.001994,0.012398
eleito,424,0.001400,0.009198
vez,634,0.002093,0.012912
nova,816,0.002694,0.015939
milhoes,559,0.001845,0.011617
precisa,338,0.001116,0.007585
bem,656,0.002166,0.013286
crime,322,0.001063,0.007278
eduardo,358,0.001182,0.007966
caso,572,0.001888,0.011844
noticia,330,0.001089,0.007432
informacao,355,0.001172,0.007910
palacio,1500,0.004952,0.026284
escolas,342,0.001129,0.007662
direitos,325,0.001073,0.007336
equipe,367,0.001212,0.008137
melhor,361,0.001192,0.008023
gas,338,0.001116,0.007585
outras,403,0.001330,0.008810
educacao,784,0.002588,0.015417
pasta,375,0.001238,0.008287
segundo,1152,0.003803,0.021190
tres,882,0.002912,0.017001
acordo,473,0.001561,0.010090
aumento,326,0.001076,0.007355
numero,310,0.001023,0.007046
ha,857,0.002829,0.016601
congresso,1990,0.006569,0.033014
tera,310,0.001023,0.007046
deputado,585,0.001931,0.012069
intervencao,591,0.001951,0.012173
fernando,301,0.000994,0.006870
grupos,353,0.001165,0.007872
vem,323,0.001066,0.007297
ver,420,0.001387,0.009125
assista,339,0.001119,0.007605
serao,395,0.001304,0.008661
pouco,304,0.001004,0.006929
r,1648,0.005440,0.028366
inicio,372,0.001228,0.008231
filho,349,0.001152,0.007795
policia,919,0.003034,0.017590
relacao,338,0.001116,0.007585
secretario,538,0.001776,0.011248
mulher,338,0.001116,0.007585
patriotas,376,0.001241,0.008306
forcas,664,0.002192,0.013422
armadas,400,0.001320,0.008755
comando,398,0.001314,0.008717
pra,875,0.002889,0.016889
passado,324,0.001070,0.007317
gente,565,0.001865,0.011722
campanha,452,0.001492,0.009710
voce,549,0.001812,0.011442
ultimos,367,0.001212,0.008137
forca,501,0.001654,0.010593
terroristas,608,0.002007,0.012466
flavio,467,0.001542,0.009982
dino,526,0.001736,0.011037
onde,789,0.002605,0.015499
maior,492,0.001624,0.010432
historia,414,0.001367,0.009014
mundo,515,0.001700,0.010842
cerimonia,394,0.001301,0.008643
violencia,309,0.001020,0.007026
esplanada,507,0.001674,0.010700
invasao,575,0.001898,0.011896
costa,381,0.001258,0.008400
bilhoes,525,0.001733,0.011019
executivo,402,0.001327,0.008792
desde,875,0.002889,0.016889
fonte,459,0.001515,0.009837
chegou,401,0.001324,0.008773
local,352,0.001162,0.007853
senado,373,0.001231,0.008250
pois,444,0.001466,0.009565
outro,306,0.001010,0.006968
poderes,670,0.002212,0.013523
dinheiro,389,0.001284,0.008550
publicos,425,0.001403,0.009217
bolsonarista,343,0.001132,0.007681
distrito,761,0.002512,0.015040
exministro,354,0.001169,0.007891
anderson,349,0.001152,0.007795
torres,426,0.001406,0.009235
disso,396,0.001307,0.008680
periodo,316,0.001043,0.007162
nada,437,0.001443,0.009437
gasolina,502,0.001657,0.010611
populacao,396,0.001307,0.008680
rio,317,0.001046,0.007181
militares,497,0.001641,0.010521
golpistas,592,0.001954,0.012191
ministra,517,0.001707,0.010877
semana,353,0.001165,0.007872
preco,370,0.001221,0.008193
entrevista,304,0.001004,0.006929
mil,634,0.002093,0.012912
constituicao,345,0.001139,0.007719
ordem,413,0.001363,0.008995
janja,381,0.001258,0.008400
policiais,356,0.001175,0.007928
manifestacao,381,0.001258,0.008400
jose,446,0.001472,0.009601
invadiram,612,0.002020,0.012535
predios,386,0.001274,0.008494
