Number of pairs,500350.000000
Number of unique pairs,14656
Average pair frequency,34.139602
Pair entropy,8.895257

Pair,Frequency,Proportion,Entropy Term,Mutual Information
governo brasil,128.000000,0.000256,0.002116,-0.348187
governo presidente,324.000000,0.000648,0.004754,0.471634
governo bolsonaro,2281.000000,0.004559,0.024575,1.339437
governo brasileiros,12.000000,0.000024,0.000255,-0.766884
governo veja,33.000000,0.000066,0.000635,0.519368
governo porque,21.000000,0.000042,0.000423,-0.131175
governo alem,27.000000,0.000054,0.000530,-0.063889
governo tambem,112.000000,0.000224,0.001881,0.305850
governo posse,77.000000,0.000154,0.001351,-0.144529
governo lula,1323.000000,0.002644,0.015694,1.427603
governo noticias,17.000000,0.000034,0.000350,-0.531373
governo pode,34.000000,0.000068,0.000652,0.109815
governo ser,54.000000,0.000108,0.000986,-0.520018
governo general,10.000000,0.000020,0.000216,-0.651066
governo alvorada,11.000000,0.000022,0.000236,-0.296313
governo tudo,24.000000,0.000048,0.000477,-0.330764
governo fez,35.000000,0.000070,0.000669,0.243013
governo discurso,19.000000,0.000038,0.000387,-0.121496
governo direito,10.000000,0.000020,0.000216,-0.458085
governo todos,55.000000,0.000110,0.001002,-0.169663
governo agora,92.000000,0.000184,0.001582,0.509306
governo decretos,40.000000,0.000080,0.000754,0.923785
governo dia,83.000000,0.000166,0.001444,0.206437
governo anos,67.000000,0.000134,0.001194,-0.083190
governo qualquer,14.000000,0.000028,0.000293,-0.078571
governo valor,30.000000,0.000060,0.000583,0.394153
governo trabalho,18.000000,0.000036,0.000368,-0.118405
governo conta,18.000000,0.000036,0.000368,0.257233
governo redes,16.000000,0.000032,0.000331,-0.837910
governo sociais,17.000000,0.000034,0.000350,-0.862637
governo dentro,11.000000,0.000022,0.000236,-0.097746
governo twitter,14.000000,0.000028,0.000293,-0.269727
governo nesta,59.000000,0.000118,0.001067,0.500777
governo segundafeira,34.000000,0.000068,0.000652,0.475241
governo pedido,15.000000,0.000030,0.000312,-0.243771
governo prisao,21.000000,0.000042,0.000423,-0.615894
governo expresidente,232.000000,0.000464,0.003559,0.585238
governo jair,825.000000,0.001649,0.010565,1.542409
governo pl,359.000000,0.000717,0.005194,1.439709
governo junto,17.000000,0.000034,0.000350,0.473584
governo federal,507.000000,0.001013,0.006986,1.428841
governo stf,11.000000,0.000022,0.000236,-1.679046
governo contra,73.000000,0.000146,0.001289,0.081697
governo democracia,20.000000,0.000040,0.000405,-0.670976
governo economia,35.000000,0.000070,0.000669,0.960725
governo paulo,34.000000,0.000068,0.000652,0.232067
governo ministerio,62.000000,0.000124,0.001115,0.271555
governo vida,13.000000,0.000026,0.000274,-0.426375
governo primeira,28.000000,0.000056,0.000548,0.371267
governo michelle,16.000000,0.000032,0.000331,0.009704
governo familia,10.000000,0.000020,0.000216,-0.812762
governo vamos,43.000000,0.000086,0.000805,0.586968
governo estados,32.000000,0.000064,0.000618,0.129425
governo unidos,26.000000,0.000052,0.000513,0.135003
governo hoje,18.000000,0.000036,0.000368,-0.730499
governo luiz,219.000000,0.000438,0.003385,1.528312
governo inacio,209.000000,0.000418,0.003250,1.550304
governo silva,191.000000,0.000382,0.003005,1.168223
governo pt,190.000000,0.000380,0.002991,1.057731
