Number of pairs,25409.000000
Number of unique pairs,2270
Average pair frequency,11.193392
Pair entropy,7.063166

Pair,Frequency,Proportion,Entropy Term,Mutual Information
bolsonaro afirmou,23.000000,0.000905,0.006343,0.901328
bolsonaro caso,13.000000,0.000512,0.003877,0.176632
bolsonaro domingo,3.000000,0.000118,0.001068,-1.601644
bolsonaro assim,6.000000,0.000236,0.001972,0.170698
bolsonaro voce,6.000000,0.000236,0.001972,-0.247506
bolsonaro deve,11.000000,0.000433,0.003353,0.702726
bolsonaro ter,15.000000,0.000590,0.004389,0.310844
bolsonaro evento,14.000000,0.000551,0.004134,-0.054641
bolsonaro pgr,11.000000,0.000433,0.003353,-0.025513
bolsonaro republica,3.000000,0.000118,0.001068,-1.186326
bolsonaro doutrinadores,24.000000,0.000945,0.006579,0.854275
bolsonaro armamentista,4.000000,0.000157,0.001378,-0.361061
bolsonaro crime,8.000000,0.000315,0.002539,-0.343967
bolsonaro filho,15.000000,0.000590,0.004389,0.319733
bolsonaro jair,3.000000,0.000118,0.001068,-2.162193
bolsonaro filhos,3.000000,0.000118,0.001068,-1.176376
bolsonaro leia,15.000000,0.000590,0.004389,0.505633
bolsonaro stf,18.000000,0.000708,0.005138,0.190116
bolsonaro determinou,3.000000,0.000118,0.001068,-0.541498
bolsonaro omissao,13.000000,0.000512,0.003877,0.800787
bolsonaro saude,5.000000,0.000197,0.001679,-0.503031
bolsonaro pazuello,10.000000,0.000394,0.003086,0.662475
bolsonaro crimes,5.000000,0.000197,0.001679,-0.760861
bolsonaro pandemia,68.000000,0.002676,0.015852,1.608047
bolsonaro politica,17.000000,0.000669,0.004891,0.063529
bolsonaro apos,26.000000,0.001023,0.007045,0.519374
bolsonaro mandato,10.000000,0.000394,0.003086,0.276058
bolsonaro conselho,7.000000,0.000275,0.002258,-0.267203
bolsonaro etica,5.000000,0.000197,0.001679,-0.417089
bolsonaro ministro,30.000000,0.001181,0.007960,0.280341
bolsonaro supremo,5.000000,0.000197,0.001679,-0.364445
bolsonaro vez,6.000000,0.000236,0.001972,0.078890
bolsonaro vem,7.000000,0.000275,0.002258,0.364069
bolsonaro sendo,3.000000,0.000118,0.001068,-0.541498
bolsonaro ato,13.000000,0.000512,0.003877,0.260402
bolsonaro redes,22.000000,0.000866,0.006106,0.943888
bolsonaro sociais,16.000000,0.000630,0.004641,0.614134
bolsonaro primeiro,6.000000,0.000236,0.001972,0.151650
bolsonaro estao,3.000000,0.000118,0.001068,-1.225166
bolsonaro mauro,15.000000,0.000590,0.004389,0.707499
bolsonaro reforma,15.000000,0.000590,0.004389,-0.109262
bolsonaro justica,9.000000,0.000354,0.002814,-0.584581
bolsonaro discursos,3.000000,0.000118,0.001068,-0.631649
bolsonaro segundo,3.000000,0.000118,0.001068,-0.665550
bolsonaro atos,3.000000,0.000118,0.001068,-0.682080
bolsonaro grupo,4.000000,0.000157,0.001378,-0.652972
bolsonaro comparar,25.000000,0.000984,0.006813,1.471520
bolsonaro educadores,17.000000,0.000669,0.004891,0.943888
bolsonaro diferenca,7.000000,0.000275,0.002258,-0.105935
bolsonaro disse,13.000000,0.000512,0.003877,0.488412
bolsonaro deputados,7.000000,0.000275,0.002258,-0.621748
bolsonaro direita,28.000000,0.001102,0.007505,0.329668
bolsonaro tributaria,5.000000,0.000197,0.001679,-0.896662
bolsonaro outros,12.000000,0.000472,0.003617,0.737551
bolsonaro semana,4.000000,0.000157,0.001378,-0.377868
bolsonaro sistema,11.000000,0.000433,0.003353,0.153366
bolsonaro votos,11.000000,0.000433,0.003353,0.776834
bolsonaro alem,3.000000,0.000118,0.001068,-0.965655
bolsonaro relacao,3.000000,0.000118,0.001068,-0.614257
bolsonaro nesta,6.000000,0.000236,0.001972,-0.247506
bolsonaro paulo,3.000000,0.000118,0.001068,-1.244035
bolsonaro freitas,10.000000,0.000394,0.003086,0.356101
bolsonaro sempre,10.000000,0.000394,0.003086,0.089472
bolsonaro novo,11.000000,0.000433,0.003353,0.451411
bolsonaro tao,13.000000,0.000512,0.003877,0.395322
bolsonaro processo,8.000000,0.000315,0.002539,-0.154725
bolsonaro povo,5.000000,0.000197,0.001679,-0.442407
bolsonaro cassacao,4.000000,0.000157,0.001378,-0.702364
bolsonaro faz,6.000000,0.000236,0.001972,0.190116
bolsonaro depoimento,9.000000,0.000354,0.002814,0.576163
bolsonaro ano,3.000000,0.000118,0.001068,-0.833886
bolsonaro cid,15.000000,0.000590,0.004389,0.879349
bolsonaro janeiro,5.000000,0.000197,0.001679,-0.234767
bolsonaro r,6.000000,0.000236,0.001972,0.044404
bolsonaro cpi,11.000000,0.000433,0.003353,0.776834
bolsonaro x,98.000000,0.003857,0.021436,2.330182
tudo pode,4.000000,0.000157,0.001378,2.207661
tudo bolsonaro,4.000000,0.000157,0.001378,-0.426658
tudo pais,3.000000,0.000118,0.001068,1.980603
tudo sempre,4.000000,0.000157,0.001378,2.577021
durante bolsonaro,11.000000,0.000433,0.003353,-0.594933
durante proarmas,42.000000,0.001653,0.010588,3.386541
durante brasilia,16.000000,0.000630,0.004641,2.128238
durante deputado,7.000000,0.000275,0.002258,0.639270
durante federal,6.000000,0.000236,0.001972,0.157641
durante eduardo,3.000000,0.000118,0.001068,-0.796131
durante fala,5.000000,0.000197,0.001679,1.146304
durante gestao,4.000000,0.000157,0.001378,1.797306
durante governo,12.000000,0.000472,0.003617,1.466899
durante brasil,3.000000,0.000118,0.001068,0.007311
durante professores,3.000000,0.000118,0.001068,-0.638811
durante parlamentar,4.000000,0.000157,0.001378,1.096253
durante neste,4.000000,0.000157,0.001378,1.186850
durante pl,3.000000,0.000118,0.001068,0.286782
durante gilmar,4.000000,0.000157,0.001378,0.929805
durante discurso,15.000000,0.000590,0.004389,2.292383
durante caso,3.000000,0.000118,0.001068,0.934260
durante domingo,3.000000,0.000118,0.001068,0.622320
durante evento,48.000000,0.001889,0.011848,3.401467
durante realizado,16.000000,0.000630,0.004641,3.394909
durante armamentista,14.000000,0.000551,0.004134,3.115666
durante jair,6.000000,0.000236,0.001972,0.754919
durante pandemia,43.000000,0.001692,0.010800,3.373704
durante anos,6.000000,0.000236,0.001972,1.760938
durante apos,3.000000,0.000118,0.001068,0.583854
durante mandato,3.000000,0.000118,0.001068,1.296050
durante ministro,6.000000,0.000236,0.001972,0.894867
durante ato,30.000000,0.001181,0.007960,3.320614
durante grupo,14.000000,0.000551,0.004134,2.823756
nacional bolsonaro,5.000000,0.000197,0.001679,-0.404186
nacional deputado,3.000000,0.000118,0.001068,0.771177
nacional eduardo,3.000000,0.000118,0.001068,0.183074
nacional governo,3.000000,0.000118,0.001068,1.059809
nacional sao,4.000000,0.000157,0.001378,1.249764
nacional educacao,8.000000,0.000315,0.002539,2.376350
proarmas bolsonaro,11.000000,0.000433,0.003353,-0.177198
proarmas brasilia,45.000000,0.001771,0.011222,3.580047
proarmas deputado,9.000000,0.000354,0.002814,1.308320
proarmas federal,12.000000,0.000472,0.003617,1.268524
proarmas eduardo,19.000000,0.000748,0.005383,1.467431
proarmas brasil,15.000000,0.000590,0.004389,2.034485
proarmas professores,6.000000,0.000236,0.001972,0.472072
proarmas neste,23.000000,0.000905,0.006343,3.353785
proarmas dia,7.000000,0.000275,0.002258,2.561083
proarmas domingo,36.000000,0.001417,0.009293,3.524962
proarmas realizado,17.000000,0.000669,0.004891,3.873269
proarmas crime,4.000000,0.000157,0.001378,1.604585
proarmas apos,3.000000,0.000118,0.001068,1.001589
proarmas janeiro,3.000000,0.000118,0.001068,1.896106
brasilia expresidente,3.000000,0.000118,0.001068,0.131824
brasilia bolsonaro,17.000000,0.000669,0.004891,-0.035102
brasilia durante,10.000000,0.000394,0.003086,1.658234
brasilia deputado,24.000000,0.000945,0.006579,1.995927
brasilia federal,14.000000,0.000551,0.004134,1.129452
brasilia eduardo,35.000000,0.001377,0.009074,1.785118
brasilia comparou,10.000000,0.000394,0.003086,2.459456
brasilia fala,3.000000,0.000118,0.001068,0.759991
brasilia dino,6.000000,0.000236,0.001972,1.602884
brasilia sao,4.000000,0.000157,0.001378,0.395072
brasilia professores,10.000000,0.000394,0.003086,0.689675
brasilia sera,3.000000,0.000118,0.001068,1.192304
brasilia tribunal,3.000000,0.000118,0.001068,1.407823
brasilia policia,3.000000,0.000118,0.001068,1.152299
brasilia neste,19.000000,0.000748,0.005383,2.869508
brasilia investigacao,3.000000,0.000118,0.001068,1.006587
brasilia discurso,5.000000,0.000197,0.001679,1.318284
brasilia piores,4.000000,0.000157,0.001378,1.802274
brasilia domingo,33.000000,0.001299,0.008632,3.144729
brasilia realizado,3.000000,0.000118,0.001068,1.845446
brasilia filho,4.000000,0.000157,0.001378,1.346455
brasilia segundo,6.000000,0.000236,0.001972,2.376074
brasilia grupo,3.000000,0.000118,0.001068,1.407823
brasilia senador,3.000000,0.000118,0.001068,1.634137
deputado expresidente,6.000000,0.000236,0.001972,0.162682
deputado bolsonaro,155.000000,0.006100,0.031108,1.512821
deputado durante,7.000000,0.000275,0.002258,0.639270
deputado federal,159.000000,0.006258,0.031751,2.897010
deputado eduardo,168.000000,0.006612,0.033184,2.691444
deputado plsp,22.000000,0.000866,0.006106,2.763607
deputado comparou,7.000000,0.000275,0.002258,1.440491
deputado fala,3.000000,0.000118,0.001068,0.097702
deputado tambem,3.000000,0.000118,0.001068,0.104347
deputado educacao,3.000000,0.000118,0.001068,-0.121460
deputado professores,12.000000,0.000472,0.003617,0.209707
deputado contra,4.000000,0.000157,0.001378,-0.411466
deputado afirmou,7.000000,0.000275,0.002258,1.397932
deputado piores,3.000000,0.000118,0.001068,0.852302
deputado evento,6.000000,0.000236,0.001972,0.784249
deputado filho,7.000000,0.000275,0.002258,1.243781
deputado jair,4.000000,0.000157,0.001378,-0.188323
deputado pazuello,15.000000,0.000590,0.004389,2.754128
deputado ato,3.000000,0.000118,0.001068,0.480253
deputado comparar,6.000000,0.000236,0.001972,1.730592
deputado diferenca,3.000000,0.000118,0.001068,0.732956
deputado direita,10.000000,0.000394,0.003086,0.986236
federal expresidente,7.000000,0.000275,0.002258,-0.010645
federal bolsonaro,106.000000,0.004172,0.022859,0.805357
federal durante,6.000000,0.000236,0.001972,0.157641
federal brasilia,20.000000,0.000787,0.005626,1.486127
federal deputado,12.000000,0.000472,0.003617,0.313012
federal eduardo,116.000000,0.004565,0.024604,1.993593
federal plsp,48.000000,0.001889,0.011848,3.216288
federal comparou,13.000000,0.000512,0.003877,1.732053
federal sobre,3.000000,0.000118,0.001068,-0.971398
federal tambem,7.000000,0.000275,0.002258,0.624167
federal pf,31.000000,0.001220,0.008185,2.225039
federal sao,4.000000,0.000157,0.001378,-0.594695
federal professores,6.000000,0.000236,0.001972,-0.810918
federal tribunal,7.000000,0.000275,0.002258,1.265354
federal contra,3.000000,0.000118,0.001068,-1.026626
federal acao,3.000000,0.000118,0.001068,0.613117
federal decisao,8.000000,0.000315,0.002539,1.133605
federal pl,26.000000,0.001023,0.007045,1.581012
federal gilmar,13.000000,0.000512,0.003877,1.243206
federal mendes,11.000000,0.000433,0.003353,1.166806
federal investigacao,10.000000,0.000394,0.003086,1.220792
federal vai,14.000000,0.000551,0.004134,1.039682
federal discurso,11.000000,0.000433,0.003353,1.116974
federal caso,6.000000,0.000236,0.001972,0.762153
federal luiz,7.000000,0.000275,0.002258,1.664510
federal pgr,6.000000,0.000236,0.001972,0.727061
federal republica,3.000000,0.000118,0.001068,0.172384
federal doutrinadores,3.000000,0.000118,0.001068,0.133544
federal filho,6.000000,0.000236,0.001972,0.762153
federal jair,3.000000,0.000118,0.001068,-0.803483
federal stf,42.000000,0.001653,0.010588,2.396124
federal determinou,16.000000,0.000630,0.004641,2.491189
federal pazuello,11.000000,0.000433,0.003353,2.116495
federal crimes,6.000000,0.000236,0.001972,0.780171
federal apos,4.000000,0.000157,0.001378,0.006282
federal vem,3.000000,0.000118,0.001068,0.875481
federal ato,3.000000,0.000118,0.001068,0.152775
federal analise,23.000000,0.000905,0.006343,2.799034
federal mauro,7.000000,0.000275,0.002258,1.304069
federal discursos,21.000000,0.000826,0.005867,2.672971
federal nesta,10.000000,0.000394,0.003086,1.622029
federal novo,5.000000,0.000197,0.001679,1.021664
federal ha,3.000000,0.000118,0.001068,0.644370
eduardo pode,10.000000,0.000394,0.003086,0.818197
eduardo bolsonaro,541.000000,0.021292,0.081961,2.174712
eduardo durante,14.000000,0.000551,0.004134,0.744314
eduardo proarmas,4.000000,0.000157,0.001378,-0.090714
eduardo deputado,4.000000,0.000157,0.001378,-1.046225
eduardo federal,4.000000,0.000157,0.001378,-1.373703
eduardo plsp,70.000000,0.002755,0.016239,3.332956
eduardo comparou,55.000000,0.002165,0.013281,2.913811
eduardo professor,12.000000,0.000472,0.003617,0.692818
eduardo fala,16.000000,0.000630,0.004641,1.183576
eduardo diz,9.000000,0.000354,0.002814,1.136855
eduardo sobre,15.000000,0.000590,0.004389,0.377415
eduardo gestao,6.000000,0.000236,0.001972,1.076891
eduardo tambem,4.000000,0.000157,0.001378,-0.196074
eduardo odio,3.000000,0.000118,0.001068,-0.098094
eduardo sao,5.000000,0.000197,0.001679,-0.632176
eduardo professores,120.000000,0.004723,0.025292,1.924189
eduardo sera,3.000000,0.000118,0.001068,-0.058089
eduardo contra,16.000000,0.000630,0.004641,0.386725
eduardo ser,10.000000,0.000394,0.003086,0.319206
eduardo camara,4.000000,0.000157,0.001378,-0.112693
eduardo lula,3.000000,0.000118,0.001068,-1.146444
eduardo pais,4.000000,0.000157,0.001378,-0.037469
eduardo todos,7.000000,0.000275,0.002258,0.299003
eduardo neste,3.000000,0.000118,0.001068,-0.226711
eduardo pl,27.000000,0.001063,0.007276,1.358128
eduardo discurso,17.000000,0.000669,0.004891,1.291667
eduardo afirmou,19.000000,0.000748,0.005383,1.808357
eduardo domingo,4.000000,0.000157,0.001378,-0.215877
eduardo assim,5.000000,0.000197,0.001679,1.086461
eduardo ter,6.000000,0.000236,0.001972,0.492638
eduardo evento,10.000000,0.000394,0.003086,0.706971
eduardo doutrinadores,3.000000,0.000118,0.001068,-0.127081
eduardo filho,11.000000,0.000433,0.003353,1.107663
eduardo pazuello,31.000000,0.001220,0.008185,2.891962
eduardo apos,6.000000,0.000236,0.001972,0.151122
eduardo conselho,9.000000,0.000354,0.002814,1.082196
eduardo etica,10.000000,0.000394,0.003086,1.374143
eduardo ministro,9.000000,0.000354,0.002814,0.174453
eduardo ato,9.000000,0.000354,0.002814,0.990762
eduardo justica,5.000000,0.000197,0.001679,-0.074283
eduardo comparar,17.000000,0.000669,0.004891,2.183943
eduardo diferenca,3.000000,0.000118,0.001068,0.144852
eduardo disse,10.000000,0.000394,0.003086,1.324133
eduardo deputados,4.000000,0.000157,0.001378,-0.083279
eduardo outros,3.000000,0.000118,0.001068,0.449342
eduardo alem,3.000000,0.000118,0.001068,0.132430
eduardo ministerio,5.000000,0.000197,0.001679,1.030371
plsp expresidente,5.000000,0.000197,0.001679,1.497342
plsp proarmas,3.000000,0.000118,0.001068,1.726688
plsp comparou,17.000000,0.000669,0.004891,3.844775
plsp traficantes,11.000000,0.000433,0.003353,2.261365
plsp professores,25.000000,0.000984,0.006813,2.460657
plsp ser,3.000000,0.000118,0.001068,1.220317
plsp discurso,4.000000,0.000157,0.001378,1.949832
plsp afirmou,3.000000,0.000118,0.001068,2.067615
plsp ter,3.000000,0.000118,0.001068,1.904575
plsp evento,4.000000,0.000157,0.001378,1.895764
plsp doutrinadores,3.000000,0.000118,0.001068,1.978003
plsp filho,5.000000,0.000197,0.001679,2.424290
plsp jair,5.000000,0.000197,0.001679,1.551802
plsp ato,3.000000,0.000118,0.001068,1.997234
plsp comparar,3.000000,0.000118,0.001068,2.554425
comparou professor,5.000000,0.000197,0.001679,1.744450
comparou doutrinador,3.000000,0.000118,0.001068,1.526726
comparou traficantes,68.000000,0.002676,0.015852,3.904994
comparou professores,83.000000,0.003267,0.018698,3.482639
comparou drogas,19.000000,0.000748,0.005383,3.164008
comparou doutrinadores,43.000000,0.001692,0.010800,4.462607
professor bolsonaro,3.000000,0.000118,0.001068,-1.791562
professor deputado,4.000000,0.000157,0.001378,0.182308
professor doutrinador,136.000000,0.005352,0.027994,4.642201
professor traficantes,8.000000,0.000315,0.002539,1.066361
professor ainda,39.000000,0.001535,0.009945,3.343628
professor pior,54.000000,0.002125,0.013078,4.251335
professor traficante,81.000000,0.003188,0.018325,4.486901
professor drogas,63.000000,0.002479,0.014876,3.664137
professor segundo,3.000000,0.000118,0.001068,1.661068
professor sequestrar,13.000000,0.000512,0.003877,2.891016
doutrinador eduardo,3.000000,0.000118,0.001068,-0.400375
doutrinador traficantes,7.000000,0.000275,0.002258,1.225932
