Number of pairs,982579.000000
Number of unique pairs,24910
Average pair frequency,39.445163
Pair entropy,9.349716

Pair,Frequency,Proportion,Entropy Term,Mutual Information
lula pt,1050.000000,0.001069,0.007311,3.007824
lula nunca,23.000000,0.000023,0.000250,0.374742
lula bolsonaro,1175.000000,0.001196,0.008047,0.408153
lula pl,31.000000,0.000032,0.000327,-1.058695
lula todas,13.000000,0.000013,0.000149,-0.032678
lula crime,12.000000,0.000012,0.000138,-0.308303
lula confira,20.000000,0.000020,0.000220,0.323304
lula news,14.000000,0.000014,0.000159,-0.274372
lula michelle,30.000000,0.000031,0.000317,-0.111749
lula jair,233.000000,0.000237,0.001979,0.063826
lula brasil,159.000000,0.000162,0.001413,-0.144807
lula deus,23.000000,0.000023,0.000250,0.408288
lula deputados,22.000000,0.000022,0.000240,0.068719
lula eua,39.000000,0.000040,0.000402,-0.302606
lula sobre,102.000000,0.000104,0.000952,-0.026591
lula internacional,12.000000,0.000012,0.000138,0.149401
lula noticias,21.000000,0.000021,0.000230,-0.622991
lula mundo,13.000000,0.000013,0.000149,-0.473123
lula redes,39.000000,0.000040,0.000402,-0.198549
lula sociais,32.000000,0.000033,0.000336,-0.425421
lula twitter,23.000000,0.000023,0.000250,0.340290
lula manifestantes,81.000000,0.000082,0.000775,1.118345
lula congresso,48.000000,0.000049,0.000485,-0.302297
lula nada,21.000000,0.000021,0.000230,0.067661
lula pais,48.000000,0.000049,0.000485,-0.346487
lula golpista,10.000000,0.000010,0.000117,-0.849095
lula pra,19.000000,0.000019,0.000210,-0.544908
lula assim,15.000000,0.000015,0.000169,-0.607890
lula todos,328.000000,0.000334,0.002672,1.355839
lula terroristas,41.000000,0.000042,0.000421,-0.628177
lula contra,48.000000,0.000049,0.000485,-0.553946
lula democracia,104.000000,0.000106,0.000969,0.370666
lula deve,44.000000,0.000045,0.000448,0.526731
lula todo,22.000000,0.000022,0.000240,-0.459104
lula lei,33.000000,0.000034,0.000346,0.071899
lula faz,79.000000,0.000080,0.000758,1.435002
lula sempre,11.000000,0.000011,0.000128,-0.839284
lula direitos,23.000000,0.000023,0.000250,0.449643
lula quer,33.000000,0.000034,0.000346,0.681579
lula povo,85.000000,0.000087,0.000809,0.873032
lula dois,83.000000,0.000084,0.000792,1.197146
lula estados,35.000000,0.000036,0.000365,-0.584975
lula unidos,17.000000,0.000017,0.000190,-1.194632
lula expresidente,175.000000,0.000178,0.001538,-0.189065
lula atos,111.000000,0.000113,0.001027,-0.323667
lula brasilia,185.000000,0.000188,0.001615,-0.050080
lula cnn,11.000000,0.000011,0.000128,-0.149970
lula deputado,13.000000,0.000013,0.000149,-0.259697
lula federal,169.000000,0.000172,0.001491,-0.248175
lula exministro,54.000000,0.000055,0.000539,-0.191518
lula defesa,37.000000,0.000038,0.000384,-0.129633
lula ataques,36.000000,0.000037,0.000374,-0.206117
lula tres,23.000000,0.000023,0.000250,-1.183946
lula poderes,34.000000,0.000035,0.000355,-0.722070
lula urgente,35.000000,0.000036,0.000365,0.534613
lula presidente,268.000000,0.000273,0.002238,0.634156
lula internado,28.000000,0.000028,0.000298,-0.425230
lula nesta,114.000000,0.000116,0.001051,0.716516
lula segundafeira,22.000000,0.000022,0.000240,-0.325038
lula orlando,11.000000,0.000011,0.000128,-0.962034
lula desde,25.000000,0.000025,0.000269,-0.521675
lula bolsonaristas,34.000000,0.000035,0.000355,-0.496828
lula janeiro,72.000000,0.000073,0.000698,0.301276
lula hoje,31.000000,0.000032,0.000327,-0.037287
lula situacao,17.000000,0.000017,0.000190,-0.010591
lula sao,84.000000,0.000085,0.000801,-0.036370
lula tentativa,12.000000,0.000012,0.000138,-0.324145
