Number of pairs,982579.000000
Number of unique pairs,24910
Average pair frequency,39.445163
Pair entropy,9.349716

Pair,Frequency,Proportion,Entropy Term,Mutual Information
lula cerca,52.000000,0.000053,0.000521,1.353617
lula golpistas,42.000000,0.000043,0.000430,-0.465504
lula tambem,112.000000,0.000114,0.001035,0.246832
lula apos,141.000000,0.000143,0.001270,0.265039
lula local,11.000000,0.000011,0.000128,-0.606814
lula antes,16.000000,0.000016,0.000180,-0.572508
lula terrorismo,14.000000,0.000014,0.000159,-0.605775
lula havia,24.000000,0.000024,0.000259,0.295175
lula sido,43.000000,0.000044,0.000439,0.601187
lula feito,18.000000,0.000018,0.000200,-0.189022
lula grupo,15.000000,0.000015,0.000169,-0.342444
lula policia,39.000000,0.000040,0.000402,-0.637489
lula grande,45.000000,0.000046,0.000458,0.737819
lula inicio,14.000000,0.000014,0.000159,0.245342
lula desta,11.000000,0.000011,0.000128,-0.792093
lula ha,69.000000,0.000070,0.000672,0.454842
lula acoes,19.000000,0.000019,0.000210,-0.027426
lula durante,72.000000,0.000073,0.000698,0.075932
lula quatro,16.000000,0.000016,0.000180,-0.402524
lula anos,252.000000,0.000256,0.002121,1.105063
lula gestao,65.000000,0.000066,0.000637,1.226172
lula outros,24.000000,0.000024,0.000259,-0.243365
lula agora,64.000000,0.000065,0.000628,0.302960
lula golpe,35.000000,0.000036,0.000365,-0.354279
lula militar,31.000000,0.000032,0.000327,-0.113347
lula ser,98.000000,0.000100,0.000919,-0.150153
lula so,47.000000,0.000048,0.000476,0.090432
lula anistia,11.000000,0.000011,0.000128,-0.292391
lula renan,11.000000,0.000011,0.000128,-0.013519
lula pedir,59.000000,0.000060,0.000584,1.742032
lula brasileira,19.000000,0.000019,0.000210,-0.361989
lula ter,47.000000,0.000048,0.000476,-0.005085
lula vandalos,12.000000,0.000012,0.000138,0.053231
lula esquerda,51.000000,0.000052,0.000512,0.721903
lula manifestacoes,25.000000,0.000025,0.000269,-0.144445
lula estao,27.000000,0.000027,0.000289,-0.397161
lula stf,114.000000,0.000116,0.001051,0.081527
lula poder,37.000000,0.000038,0.000384,0.246469
lula eleicoes,73.000000,0.000074,0.000706,0.567871
lula eleicao,31.000000,0.000032,0.000327,0.062797
lula estado,29.000000,0.000030,0.000308,-0.992949
lula acaba,41.000000,0.000042,0.000421,1.337876
lula bem,14.000000,0.000014,0.000159,-0.572180
lula canal,13.000000,0.000013,0.000149,0.192288
lula novo,70.000000,0.000071,0.000680,1.138103
lula prisao,21.000000,0.000021,0.000230,-1.150332
lula ato,14.000000,0.000014,0.000159,-0.469881
lula noite,20.000000,0.000020,0.000220,0.232920
lula domingo,55.000000,0.000056,0.000548,-0.564914
lula tudo,42.000000,0.000043,0.000430,0.161643
lula vida,16.000000,0.000016,0.000180,-0.010591
lula pode,45.000000,0.000046,0.000458,0.223363
lula reuniao,74.000000,0.000075,0.000715,1.838583
lula tarcisio,36.000000,0.000037,0.000374,1.213902
lula antidemocraticos,25.000000,0.000025,0.000269,-0.068251
lula radicais,10.000000,0.000010,0.000117,-0.140487
lula tarde,12.000000,0.000012,0.000138,-0.252904
lula deste,26.000000,0.000026,0.000279,0.246946
lula governador,40.000000,0.000041,0.000412,0.102867
lula paulo,20.000000,0.000020,0.000220,-0.393217
lula seguranca,104.000000,0.000106,0.000969,0.285814
lula frente,18.000000,0.000018,0.000200,-0.641825
lula pessoas,72.000000,0.000073,0.000698,0.222458
lula apoiadores,33.000000,0.000034,0.000346,-0.361482
lula luiz,19.000000,0.000019,0.000210,-0.736309
lula inacio,16.000000,0.000016,0.000180,-0.811616
lula silva,1209.000000,0.001230,0.008244,3.266060
lula presidencia,72.000000,0.000073,0.000698,0.720917
lula republica,47.000000,0.000048,0.000476,-0.322346
lula volta,16.000000,0.000016,0.000180,-0.147895
lula via,17.000000,0.000017,0.000190,-0.397543
lula acao,11.000000,0.000011,0.000128,-0.606814
lula pf,20.000000,0.000020,0.000220,-0.445719
lula podem,50.000000,0.000051,0.000503,1.477486
lula ficar,12.000000,0.000012,0.000138,0.187991
lula publica,42.000000,0.000043,0.000430,-0.237108
lula decisao,11.000000,0.000011,0.000128,-0.813342
lula alguns,20.000000,0.000020,0.000220,0.437714
lula supremo,55.000000,0.000056,0.000548,-0.185062
lula tribunal,41.000000,0.000042,0.000421,-0.694649
lula informacoes,38.000000,0.000039,0.000393,0.131466
lula ontem,26.000000,0.000026,0.000279,0.258246
lula afirmou,81.000000,0.000082,0.000775,0.866073
lula chefe,12.000000,0.000012,0.000138,-0.085659
lula caso,10.000000,0.000010,0.000117,-0.776809
lula afirma,20.000000,0.000020,0.000220,0.497550
lula politicos,15.000000,0.000015,0.000169,-0.033971
lula senador,13.000000,0.000013,0.000149,-0.208099
lula fazer,26.000000,0.000026,0.000279,0.091192
lula atual,12.000000,0.000012,0.000138,-0.015953
lula ministro,78.000000,0.000079,0.000749,-0.130119
lula justica,42.000000,0.000043,0.000430,-0.571742
lula dia,66.000000,0.000067,0.000645,-0.229621
lula sera,43.000000,0.000044,0.000439,0.412661
lula completa,11.000000,0.000011,0.000128,-0.100287
lula politica,88.000000,0.000090,0.000835,0.570328
lula direita,12.000000,0.000012,0.000138,-0.659775
lula verdade,11.000000,0.000011,0.000128,-0.580626
lula invasao,40.000000,0.000041,0.000412,-0.141195
lula palacio,42.000000,0.000043,0.000430,-0.212308
lula planalto,47.000000,0.000048,0.000476,-0.080819
lula alexandre,32.000000,0.000033,0.000336,-0.479208
lula moraes,34.000000,0.000035,0.000355,-0.779979
lula diz,60.000000,0.000061,0.000593,0.360784
lula mandato,106.000000,0.000108,0.000985,1.091985
lula dentro,12.000000,0.000012,0.000138,-0.207589
lula vandalismo,26.000000,0.000026,0.000279,-0.487087
lula depredacao,10.000000,0.000010,0.000117,-0.554415
lula publico,22.000000,0.000022,0.000240,-0.501274
lula ultimo,12.000000,0.000012,0.000138,-1.072703
lula autoridades,11.000000,0.000011,0.000128,-0.265483
lula brasileiro,22.000000,0.000022,0.000240,-0.382256
lula cargo,23.000000,0.000023,0.000250,0.072730
lula menos,13.000000,0.000013,0.000149,-0.841448
lula governo,214.000000,0.000218,0.001836,0.297702
lula politico,13.000000,0.000013,0.000149,-0.332423
lula parte,17.000000,0.000017,0.000190,-0.729032
lula devem,12.000000,0.000012,0.000138,0.005670
lula forma,13.000000,0.000013,0.000149,-0.575510
lula ainda,99.000000,0.000101,0.000927,0.453241
lula df,43.000000,0.000044,0.000439,-0.209282
lula primeiro,202.000000,0.000206,0.001745,2.007831
lula camara,14.000000,0.000014,0.000159,0.078517
lula distrito,34.000000,0.000035,0.000355,-0.525015
lula segundo,102.000000,0.000104,0.000952,0.548392
lula sigilo,277.000000,0.000282,0.002304,1.918918
lula mesma,10.000000,0.000010,0.000117,-0.032920
lula flavio,39.000000,0.000040,0.000402,0.819757
lula dino,36.000000,0.000037,0.000374,0.973829
lula deu,41.000000,0.000042,0.000421,0.997084
lula entao,14.000000,0.000014,0.000159,-0.656560
lula presos,12.000000,0.000012,0.000138,-0.546896
lula instituicoes,13.000000,0.000013,0.000149,-0.473123
lula nacional,38.000000,0.000039,0.000393,-0.314273
lula diante,15.000000,0.000015,0.000169,0.287902
lula responsaveis,13.000000,0.000013,0.000149,-0.210133
lula vez,29.000000,0.000030,0.000308,-0.095840
lula vao,14.000000,0.000014,0.000159,0.245342
lula aconteceu,10.000000,0.000010,0.000117,-0.154552
lula documento,29.000000,0.000030,0.000308,0.082608
lula fez,73.000000,0.000074,0.000706,1.045627
lula neste,34.000000,0.000035,0.000355,0.159660
lula leia,18.000000,0.000018,0.000200,-0.438502
lula posse,37.000000,0.000038,0.000384,0.933995
lula internacao,11.000000,0.000011,0.000128,-0.354576
lula imprensa,14.000000,0.000014,0.000159,0.260335
lula ocorreu,13.000000,0.000013,0.000149,0.261498
lula dar,24.000000,0.000024,0.000259,0.501131
lula onde,21.000000,0.000021,0.000230,-0.491480
lula vamos,38.000000,0.000039,0.000393,0.795681
lula porque,20.000000,0.000020,0.000220,-0.348215
lula la,54.000000,0.000055,0.000539,1.086231
lula vai,103.000000,0.000105,0.000961,0.686007
lula forcas,38.000000,0.000039,0.000393,0.149235
lula armadas,23.000000,0.000023,0.000250,0.272892
lula momento,22.000000,0.000022,0.000240,0.089570
lula salario,104.000000,0.000106,0.000969,1.586210
lula r,304.000000,0.000309,0.002500,0.665512
lula chegou,18.000000,0.000018,0.000200,0.365733
lula acordo,40.000000,0.000041,0.000412,0.617010
lula problema,12.000000,0.000012,0.000138,0.136862
lula veja,57.000000,0.000058,0.000566,0.850382
lula invasoes,20.000000,0.000020,0.000220,0.173022
lula responsavel,10.000000,0.000010,0.000117,-0.157341
lula toda,10.000000,0.000010,0.000117,-0.051671
lula messias,10.000000,0.000010,0.000117,-0.531686
lula partido,11.000000,0.000011,0.000128,-0.233148
lula capital,12.000000,0.000012,0.000138,-0.316256
lula intervencao,140.000000,0.000142,0.001262,1.886529
lula campanha,38.000000,0.000039,0.000393,0.724157
lula presidencial,15.000000,0.000015,0.000169,-0.130045
lula fim,35.000000,0.000036,0.000365,0.281710
lula eleitoral,30.000000,0.000031,0.000317,-0.213312
lula dias,29.000000,0.000030,0.000308,-0.251594
lula alem,15.000000,0.000015,0.000169,-0.631283
lula pedido,29.000000,0.000030,0.000308,-0.501645
lula anderson,22.000000,0.000022,0.000240,-1.198899
lula torres,52.000000,0.000053,0.000521,-0.785307
lula bolsonarista,15.000000,0.000015,0.000169,-0.128135
lula sendo,17.000000,0.000017,0.000190,-0.318466
lula disse,108.000000,0.000110,0.001002,0.645037
lula apoio,31.000000,0.000032,0.000327,0.414843
lula maior,46.000000,0.000047,0.000467,0.747749
lula biden,15.000000,0.000015,0.000169,0.264978
lula deixa,259.000000,0.000264,0.002172,2.034210
lula video,100.000000,0.000102,0.000936,0.714680
lula decreto,59.000000,0.000060,0.000584,0.689689
lula precisa,22.000000,0.000022,0.000240,0.650807
lula resultado,13.000000,0.000013,0.000149,-1.066967
lula urnas,24.000000,0.000024,0.000259,0.627640
lula investigacao,13.000000,0.000013,0.000149,-0.647601
lula saiba,11.000000,0.000011,0.000128,-0.199732
lula fala,24.000000,0.000024,0.000259,0.359227
lula jornal,11.000000,0.000011,0.000128,-0.764880
lula foto,25.000000,0.000025,0.000269,0.176127
lula nova,10.000000,0.000010,0.000117,-0.539320
lula vezes,12.000000,0.000012,0.000138,-0.548467
lula reacao,44.000000,0.000045,0.000448,1.361147
lula executivo,10.000000,0.000010,0.000117,-0.470463
lula pede,23.000000,0.000023,0.000250,0.344282
lula preso,22.000000,0.000022,0.000240,-0.185062
lula noticia,10.000000,0.000010,0.000117,-0.474528
lula cadeia,12.000000,0.000012,0.000138,-0.002494
lula primeira,47.000000,0.000048,0.000476,0.695682
lula choque,34.000000,0.000035,0.000355,0.945870
lula causa,16.000000,0.000016,0.000180,0.335199
lula militares,31.000000,0.000032,0.000327,0.296353
lula pois,19.000000,0.000019,0.000210,0.427664
lula ai,13.000000,0.000013,0.000149,0.271318
lula genocida,17.000000,0.000017,0.000190,0.523268
lula cartao,231.000000,0.000235,0.001964,1.041768
lula corporativo,139.000000,0.000141,0.001254,0.747017
lula terrorista,10.000000,0.000010,0.000117,-0.267980
lula gente,12.000000,0.000012,0.000138,-0.571742
lula aliados,17.000000,0.000017,0.000190,0.430609
lula casa,29.000000,0.000030,0.000308,-0.543637
lula quase,28.000000,0.000028,0.000298,0.779250
lula milhoes,195.000000,0.000198,0.001692,1.168602
lula eleito,144.000000,0.000147,0.001294,2.414324
lula superior,13.000000,0.000013,0.000149,-0.267404
lula ver,23.000000,0.000023,0.000250,0.238122
lula preciso,13.000000,0.000013,0.000149,0.220025
lula petista,56.000000,0.000057,0.000557,1.420469
lula senado,29.000000,0.000030,0.000308,0.726907
lula ministros,87.000000,0.000089,0.000826,1.800259
lula pouco,57.000000,0.000058,0.000566,1.704396
lula comando,17.000000,0.000017,0.000190,0.169835
lula fonte,17.000000,0.000017,0.000190,0.044003
lula publicacao,16.000000,0.000016,0.000180,0.488875
lula nome,16.000000,0.000016,0.000180,-0.075003
lula entrevista,14.000000,0.000014,0.000159,0.221812
lula periodo,13.000000,0.000013,0.000149,-0.073111
lula regiao,13.000000,0.000013,0.000149,0.258246
lula protestos,10.000000,0.000010,0.000117,-0.123343
lula cada,39.000000,0.000040,0.000402,0.923643
lula uniao,13.000000,0.000013,0.000149,-0.488627
lula alvorada,13.000000,0.000013,0.000149,0.242142
lula semana,18.000000,0.000018,0.000200,0.268763
lula pediu,28.000000,0.000028,0.000298,0.505625
lula passado,13.000000,0.000013,0.000149,-0.444595
lula mil,12.000000,0.000012,0.000138,-1.692600
lula trabalho,14.000000,0.000014,0.000159,0.193157
lula voce,13.000000,0.000013,0.000149,-0.362540
lula meio,23.000000,0.000023,0.000250,0.017860
lula desse,11.000000,0.000011,0.000128,0.104264
lula medida,44.000000,0.000045,0.000448,0.768235
lula lista,28.000000,0.000028,0.000298,0.675668
lula lado,15.000000,0.000015,0.000169,0.239802
lula vem,28.000000,0.000028,0.000298,0.831345
lula determinou,22.000000,0.000022,0.000240,0.359581
lula medidas,16.000000,0.000016,0.000180,0.102415
lula ano,46.000000,0.000047,0.000467,0.234531
lula investigar,10.000000,0.000010,0.000117,-0.211555
lula passe,18.000000,0.000018,0.000200,0.427664
lula demonstrar,11.000000,0.000011,0.000128,-0.048005
lula vitoria,10.000000,0.000010,0.000117,-0.255433
lula enquanto,29.000000,0.000030,0.000308,0.372327
lula outra,34.000000,0.000035,0.000355,1.236024
lula ministerio,21.000000,0.000021,0.000230,-0.404209
lula junto,12.000000,0.000012,0.000138,0.079357
lula proposta,14.000000,0.000014,0.000159,0.056100
lula brasileiros,14.000000,0.000014,0.000159,-0.459639
lula forca,10.000000,0.000010,0.000117,-0.353952
lula materia,11.000000,0.000011,0.000128,-0.113603
lula quebra,103.000000,0.000105,0.000961,1.960051
lula oficial,16.000000,0.000016,0.000180,0.232406
lula gastos,129.000000,0.000131,0.001173,0.593838
lula tse,34.000000,0.000035,0.000355,0.390142
lula dados,18.000000,0.000018,0.000200,-0.187522
lula secretaria,17.000000,0.000017,0.000190,0.340407
lula recebeu,17.000000,0.000017,0.000190,0.250256
lula objetivo,16.000000,0.000016,0.000180,0.001580
lula unico,21.000000,0.000021,0.000230,0.418185
lula encontrado,11.000000,0.000011,0.000128,0.068719
lula valor,73.000000,0.000074,0.000706,0.928268
lula bomba,37.000000,0.000038,0.000384,1.182112
lula valores,55.000000,0.000056,0.000548,1.254862
lula aumento,78.000000,0.000079,0.000749,1.688795
lula minimo,98.000000,0.000100,0.000919,1.390961
lula mostra,17.000000,0.000017,0.000190,0.398676
lula residencia,22.000000,0.000022,0.000240,0.571639
lula quintafeira,36.000000,0.000037,0.000374,0.985892
lula dilma,533.000000,0.000542,0.004079,3.095267
lula despesas,10.000000,0.000010,0.000117,-0.561877
lula haddad,19.000000,0.000019,0.000210,0.612093
lula inflacao,33.000000,0.000034,0.000346,0.806222
lula gasto,22.000000,0.000022,0.000240,0.457655
lula gastou,207.000000,0.000211,0.001783,1.512602
lula quartafeira,37.000000,0.000038,0.000384,1.145436
lula visitas,26.000000,0.000026,0.000279,0.964465
lula minuta,16.000000,0.000016,0.000180,-0.556285
pt lula,71.000000,0.000072,0.000689,0.313958
pt bolsonaro,140.000000,0.000142,0.001262,-0.216338
pt pl,34.000000,0.000035,0.000355,0.536568
pt jair,51.000000,0.000052,0.000512,0.047503
pt brasil,32.000000,0.000033,0.000336,-0.245086
pt sobre,25.000000,0.000025,0.000269,0.070201
pt redes,16.000000,0.000016,0.000180,0.413368
pt manifestantes,11.000000,0.000011,0.000128,0.624681
pt congresso,10.000000,0.000010,0.000117,-0.368024
pt pais,12.000000,0.000012,0.000138,-0.229892
pt todos,17.000000,0.000017,0.000190,-0.101072
pt contra,18.000000,0.000018,0.000200,-0.031886
pt sempre,12.000000,0.000012,0.000138,0.750617
pt povo,17.000000,0.000017,0.000190,0.766484
pt dois,16.000000,0.000016,0.000180,1.053783
pt expresidente,61.000000,0.000062,0.000601,0.259912
pt atos,29.000000,0.000030,0.000308,-0.163012
pt brasilia,18.000000,0.000018,0.000200,-0.877175
pt federal,39.000000,0.000040,0.000402,-0.211622
pt exministro,11.000000,0.000011,0.000128,-0.279717
pt tres,11.000000,0.000011,0.000128,-0.418655
pt presidente,52.000000,0.000053,0.000521,0.497302
pt nesta,72.000000,0.000073,0.000698,1.759873
pt segunda,12.000000,0.000012,0.000138,1.639751
pt janeiro,26.000000,0.000026,0.000279,0.785596
pt manha,12.000000,0.000012,0.000138,1.361459
pt sao,39.000000,0.000040,0.000402,0.699265
pt tambem,38.000000,0.000039,0.000393,0.668808
pt apos,26.000000,0.000026,0.000279,0.077265
pt feito,15.000000,0.000015,0.000169,1.131546
pt grande,33.000000,0.000034,0.000346,1.930553
pt durante,23.000000,0.000023,0.000250,0.437649
pt anos,37.000000,0.000038,0.000384,0.689441
pt gestao,16.000000,0.000016,0.000180,1.327263
pt ser,15.000000,0.000015,0.000169,-0.524180
pt esquerda,11.000000,0.000011,0.000128,0.690863
pt contas,13.000000,0.000013,0.000149,1.121334
pt stf,17.000000,0.000017,0.000190,-0.318569
pt poder,20.000000,0.000020,0.000220,1.134173
pt eleicoes,36.000000,0.000037,0.000374,1.363820
pt novo,12.000000,0.000012,0.000138,0.877403
pt domingo,19.000000,0.000019,0.000210,-0.124919
pt governador,12.000000,0.000012,0.000138,0.401783
pt paulo,11.000000,0.000011,0.000128,0.511836
pt seguranca,21.000000,0.000021,0.000230,0.188835
pt frente,90.000000,0.000092,0.000852,2.470503
pt pessoas,18.000000,0.000018,0.000200,0.339053
pt apoiadores,10.000000,0.000010,0.000117,-0.052515
pt presidencia,26.000000,0.000026,0.000279,1.205237
pt republica,20.000000,0.000020,0.000220,0.326128
pt publica,14.000000,0.000014,0.000159,0.167169
pt supremo,15.000000,0.000015,0.000169,0.018545
pt tribunal,26.000000,0.000026,0.000279,0.352765
pt informacoes,17.000000,0.000017,0.000190,0.829982
pt afirmou,36.000000,0.000037,0.000374,1.558032
pt atual,11.000000,0.000011,0.000128,1.399925
pt ministro,12.000000,0.000012,0.000138,-0.499031
pt dia,13.000000,0.000013,0.000149,-0.351436
pt palacio,45.000000,0.000046,0.000458,1.359574
pt planalto,27.000000,0.000027,0.000289,0.867760
pt mandato,35.000000,0.000036,0.000365,1.486784
pt cargo,13.000000,0.000013,0.000149,1.005074
pt governo,52.000000,0.000053,0.000521,0.385859
pt forma,10.000000,0.000010,0.000117,0.665015
pt ainda,21.000000,0.000021,0.000230,0.405533
pt primeiro,26.000000,0.000026,0.000279,1.460550
pt segundo,21.000000,0.000021,0.000230,0.470832
pt sigilo,39.000000,0.000040,0.000402,1.461351
pt flavio,14.000000,0.000014,0.000159,1.298142
pt publicos,12.000000,0.000012,0.000138,0.625605
pt documento,27.000000,0.000027,0.000289,1.514038
pt fez,13.000000,0.000013,0.000149,0.823007
pt neste,15.000000,0.000015,0.000169,0.844239
pt leia,17.000000,0.000017,0.000190,1.007229
pt vai,37.000000,0.000038,0.000384,1.165086
pt salario,33.000000,0.000034,0.000346,1.941216
pt r,57.000000,0.000058,0.000566,0.494425
pt acordo,33.000000,0.000034,0.000346,1.927528
pt partido,10.000000,0.000010,0.000117,1.174431
pt intervencao,20.000000,0.000020,0.000220,1.443508
pt campanha,14.000000,0.000014,0.000159,1.228517
pt fim,13.000000,0.000013,0.000149,0.794201
pt eleitoral,14.000000,0.000014,0.000159,0.527437
pt pedido,10.000000,0.000010,0.000117,-0.063466
pt bolsonarista,12.000000,0.000012,0.000138,1.151611
pt disse,21.000000,0.000021,0.000230,0.510318
pt urnas,10.000000,0.000010,0.000117,1.255061
pt fala,12.000000,0.000012,0.000138,1.168969
pt inquerito,17.000000,0.000017,0.000190,1.259712
pt primeira,15.000000,0.000015,0.000169,1.056475
pt cartao,23.000000,0.000023,0.000250,0.237734
pt corporativo,21.000000,0.000021,0.000230,0.359955
pt gente,47.000000,0.000048,0.000476,2.296389
pt milhoes,15.000000,0.000015,0.000169,0.106542
pt eleito,22.000000,0.000022,0.000240,2.038442
pt ministros,15.000000,0.000015,0.000169,1.545291
pt partir,11.000000,0.000011,0.000128,1.449250
pt fonte,12.000000,0.000012,0.000138,1.198586
pt cada,24.000000,0.000024,0.000259,1.941025
pt uniao,12.000000,0.000012,0.000138,0.934220
pt medida,72.000000,0.000073,0.000698,2.763601
pt lista,15.000000,0.000015,0.000169,1.554403
pt determinou,10.000000,0.000010,0.000117,1.074013
pt ano,11.000000,0.000011,0.000128,0.306675
pt gastos,20.000000,0.000020,0.000220,0.232647
pt tse,14.000000,0.000014,0.000159,1.005728
pt dados,11.000000,0.000011,0.000128,0.822891
pt encontrado,14.000000,0.000014,0.000159,1.812770
pt valores,29.000000,0.000030,0.000308,2.117714
pt minimo,33.000000,0.000034,0.000346,1.805390
pt quintafeira,22.000000,0.000022,0.000240,1.996305
pt dilma,66.000000,0.000067,0.000645,2.509290
pt tercafeira,17.000000,0.000017,0.000190,1.413863
pt inflacao,31.000000,0.000032,0.000327,2.246591
pt gastou,39.000000,0.000040,0.000402,1.346334
pt quartafeira,32.000000,0.000033,0.000336,2.503144
pt visitas,11.000000,0.000011,0.000128,1.607153
nunca lula,14.000000,0.000014,0.000159,-0.121695
nunca bolsonaro,40.000000,0.000041,0.000412,-0.281132
nunca jair,10.000000,0.000010,0.000117,-0.393769
nunca brasil,30.000000,0.000031,0.000317,0.878345
nunca pais,21.000000,0.000021,0.000230,1.517693
nunca contra,11.000000,0.000011,0.000128,0.663607
nunca democracia,11.000000,0.000011,0.000128,0.815029
nunca sempre,19.000000,0.000019,0.000210,2.398119
nunca presidente,33.000000,0.000034,0.000346,1.230535
nunca historia,17.000000,0.000017,0.000190,2.895379
nunca antes,13.000000,0.000013,0.000149,1.910711
nunca durante,11.000000,0.000011,0.000128,0.888019
nunca so,10.000000,0.000010,0.000117,1.233728
nunca anistia,12.000000,0.000012,0.000138,2.485479
nunca ter,19.000000,0.000019,0.000210,1.780065
nunca eleicao,10.000000,0.000010,0.000117,1.622253
nunca governo,10.000000,0.000010,0.000117,-0.074830
nunca vai,10.000000,0.000010,0.000117,1.044722
nunca disse,12.000000,0.000012,0.000138,1.138671
bolsonaro lula,1165.000000,0.001186,0.007988,0.399606
bolsonaro pt,72.000000,0.000073,0.000698,-0.881314
bolsonaro nunca,102.000000,0.000104,0.000952,0.654961
bolsonaro pl,2446.000000,0.002489,0.014926,2.100269
bolsonaro todas,40.000000,0.000041,0.000412,-0.118006
bolsonaro chamado,34.000000,0.000035,0.000355,0.030071
bolsonaro crime,132.000000,0.000134,0.001198,0.880333
bolsonaro confira,83.000000,0.000084,0.000792,0.537153
bolsonaro news,88.000000,0.000090,0.000835,0.354649
bolsonaro michelle,160.000000,0.000163,0.001420,0.352969
bolsonaro jair,398.000000,0.000405,0.003164,-0.610019
bolsonaro encontra,109.000000,0.000111,0.001010,1.121660
bolsonaro hospital,848.000000,0.000863,0.006089,1.678389
bolsonaro facada,48.000000,0.000049,0.000485,0.016913
bolsonaro saude,90.000000,0.000092,0.000852,0.382445
bolsonaro brasil,985.000000,0.001002,0.006922,0.469672
bolsonaro deus,45.000000,0.000046,0.000458,-0.129803
bolsonaro deputados,103.000000,0.000105,0.000961,0.403147
bolsonaro eua,705.000000,0.000717,0.005195,1.382771
bolsonaro extradicao,45.000000,0.000046,0.000458,-0.179709
bolsonaro sobre,987.000000,0.001004,0.006934,1.033847
bolsonaro direito,31.000000,0.000032,0.000327,-0.859153
bolsonaro internacional,17.000000,0.000017,0.000190,-0.711551
bolsonaro noticias,166.000000,0.000169,0.001467,0.235215
bolsonaro mundo,40.000000,0.000041,0.000412,-0.558451
bolsonaro site,31.000000,0.000032,0.000327,-0.440920
bolsonaro outras,48.000000,0.000049,0.000485,-0.021684
bolsonaro redes,320.000000,0.000326,0.002615,0.696952
bolsonaro sociais,255.000000,0.000260,0.002143,0.440848
