Number of words,464246
Number of unique words,500
Average word frequency,928.492000
Entropy,5.766500

Word,Frequency,Proportion,Entropy Term
lula,7151,0.015403,0.064281
pt,1591,0.003427,0.019452
nunca,485,0.001045,0.007171
bolsonaro,23963,0.051617,0.152988
pl,2741,0.005904,0.030301
todas,412,0.000887,0.006236
chamado,302,0.000651,0.004773
crime,501,0.001079,0.007372
confira,444,0.000956,0.006649
news,565,0.001217,0.008168
michelle,1029,0.002216,0.013547
jair,6705,0.014443,0.061202
encontra,325,0.000700,0.005085
hospital,1449,0.003121,0.018008
facada,432,0.000931,0.006495
saude,562,0.001211,0.008131
brasil,5637,0.012142,0.053560
deus,469,0.001010,0.006968
deputados,630,0.001357,0.008960
eua,1619,0.003487,0.019734
extradicao,493,0.001062,0.007272
sobre,3213,0.006921,0.034419
direito,670,0.001443,0.009440
internacional,317,0.000683,0.004977
noticias,1201,0.002587,0.015411
mundo,640,0.001379,0.009080
site,441,0.000950,0.006611
outras,449,0.000967,0.006713
redes,1459,0.003143,0.018110
sociais,1502,0.003235,0.018550
instagram,465,0.001002,0.006917
twitter,502,0.001081,0.007385
manifestantes,812,0.001749,0.011104
congresso,1992,0.004291,0.023390
nada,602,0.001297,0.008621
pais,2082,0.004485,0.024249
golpista,717,0.001544,0.009997
pra,1005,0.002165,0.013282
assim,845,0.001820,0.011483
todos,2593,0.005585,0.028975
terroristas,2357,0.005077,0.026822
contra,2562,0.005519,0.028695
democracia,2202,0.004743,0.025381
deve,797,0.001717,0.010931
todo,1068,0.002301,0.013975
lei,942,0.002029,0.012581
faz,577,0.001243,0.008315
sempre,781,0.001682,0.010746
direitos,450,0.000969,0.006726
quer,512,0.001103,0.007510
povo,1089,0.002346,0.014204
dois,769,0.001656,0.010606
estados,1927,0.004151,0.022765
unidos,1722,0.003709,0.020760
expresidente,6485,0.013969,0.059660
atos,4706,0.010137,0.046544
criminosos,616,0.001327,0.008790
brasilia,5966,0.012851,0.055957
cnn,392,0.000844,0.005976
deputado,517,0.001114,0.007573
federal,6644,0.014311,0.060776
exministro,2006,0.004321,0.023525
defesa,1292,0.002783,0.016376
culpa,326,0.000702,0.005099
ataques,1357,0.002923,0.017056
sedes,840,0.001809,0.011426
tres,2305,0.004965,0.026341
