Number of pairs,760091.000000
Number of unique pairs,17869
Average pair frequency,42.536852
Pair entropy,8.913081

Pair,Frequency,Proportion,Entropy Term,Mutual Information
lula vez,225.000000,0.000296,0.002405,1.012299
lula debate,340.000000,0.000447,0.003450,0.833175
lula nesse,25.000000,0.000033,0.000340,-0.157239
lula video,192.000000,0.000253,0.002092,0.601950
lula presidente,1810.000000,0.002381,0.014383,0.764780
lula bolsonaro,5310.000000,0.006986,0.034677,0.857673
lula tudo,50.000000,0.000066,0.000633,-0.420642
lula pt,2368.000000,0.003115,0.017980,1.932251
lula fez,90.000000,0.000118,0.001071,0.411806
lula contra,462.000000,0.000608,0.004501,0.763831
lula brasil,855.000000,0.001125,0.007638,0.437686
lula toda,17.000000,0.000022,0.000239,-0.481600
lula quer,61.000000,0.000080,0.000757,0.052482
lula verdade,35.000000,0.000046,0.000460,-0.292458
lula via,87.000000,0.000114,0.001039,0.380560
lula ministro,84.000000,0.000111,0.001007,-0.123537
lula fabio,16.000000,0.000021,0.000227,-0.616949
lula faria,13.000000,0.000017,0.000188,-0.708803
lula denuncia,21.000000,0.000028,0.000290,-0.671918
lula mil,85.000000,0.000112,0.001017,0.140563
lula insercoes,67.000000,0.000088,0.000823,-0.395992
lula campanha,147.000000,0.000193,0.001654,-0.473199
lula jair,844.000000,0.001110,0.007554,0.519961
lula messias,50.000000,0.000066,0.000633,-0.565403
lula nordeste,62.000000,0.000082,0.000768,0.044450
lula disse,141.000000,0.000186,0.001594,0.361670
lula dias,74.000000,0.000097,0.000899,-0.183195
lula canal,12.000000,0.000016,0.000175,-0.964157
lula eleitoral,121.000000,0.000159,0.001392,-0.624348
lula resposta,63.000000,0.000083,0.000779,0.772440
lula trabalhadores,47.000000,0.000062,0.000599,0.447365
lula deste,43.000000,0.000057,0.000553,-0.251062
lula pais,148.000000,0.000195,0.001664,-0.250288
lula tribunal,43.000000,0.000057,0.000553,-0.733153
lula voto,203.000000,0.000267,0.002197,0.192839
lula link,12.000000,0.000016,0.000175,-1.151491
lula ipec,83.000000,0.000109,0.000996,0.648131
lula urgente,55.000000,0.000072,0.000690,0.420038
lula radio,54.000000,0.000071,0.000679,-0.117417
lula caso,45.000000,0.000059,0.000576,-0.301040
lula anos,182.000000,0.000239,0.001996,0.330443
lula melhor,80.000000,0.000105,0.000964,0.312765
lula saiba,39.000000,0.000051,0.000507,0.067552
lula porque,75.000000,0.000099,0.000910,0.230812
lula rede,43.000000,0.000057,0.000553,0.449264
lula voce,136.000000,0.000179,0.001544,0.015196
lula pode,102.000000,0.000134,0.001197,0.238733
lula ter,84.000000,0.000111,0.001007,-0.113503
lula nunca,50.000000,0.000066,0.000633,-0.090174
lula pra,87.000000,0.000114,0.001039,0.028818
lula agora,118.000000,0.000155,0.001362,0.018463
lula siga,17.000000,0.000022,0.000239,-0.394589
lula la,35.000000,0.000046,0.000460,0.179234
lula eleicoes,384.000000,0.000505,0.003835,0.456321
lula vivo,46.000000,0.000061,0.000588,0.226145
lula entrevista,49.000000,0.000064,0.000622,0.196761
lula candidato,265.000000,0.000349,0.002776,0.149145
lula reeleicao,92.000000,0.000121,0.001092,-0.434140
lula senador,19.000000,0.000025,0.000265,-0.531888
lula cidade,37.000000,0.000049,0.000483,-0.426769
lula eduardo,37.000000,0.000049,0.000483,0.017080
lula carreata,46.000000,0.000061,0.000588,-0.132252
lula apoio,66.000000,0.000087,0.000812,-0.497710
lula proximo,59.000000,0.000078,0.000735,0.236500
lula domingo,164.000000,0.000216,0.001821,-0.113790
lula poder,63.000000,0.000083,0.000779,0.400128
lula futuro,23.000000,0.000030,0.000315,-0.783887
lula governador,91.000000,0.000120,0.001081,-0.254248
lula tambem,168.000000,0.000221,0.001860,0.227686
lula gente,46.000000,0.000061,0.000588,-0.203451
lula confira,82.000000,0.000108,0.000985,0.395889
lula aqui,55.000000,0.000072,0.000690,-0.305404
lula votar,78.000000,0.000103,0.000943,-0.429733
lula historia,68.000000,0.000089,0.000834,0.231867
lula todo,63.000000,0.000083,0.000779,-0.117417
lula assim,38.000000,0.000050,0.000495,-0.300458
lula numeros,41.000000,0.000054,0.000530,0.488909
lula ultimo,103.000000,0.000136,0.001207,0.625332
lula ano,19.000000,0.000025,0.000265,-0.685689
lula brasileiro,59.000000,0.000078,0.000735,0.142580
lula maior,63.000000,0.000083,0.000779,0.060450
lula dois,90.000000,0.000118,0.001071,-0.004213
lula governo,146.000000,0.000192,0.001644,-0.206540
lula novo,147.000000,0.000193,0.001654,0.786121
lula milhoes,134.000000,0.000176,0.001524,0.807187
lula trabalho,10.000000,0.000013,0.000148,-1.223811
lula desde,44.000000,0.000058,0.000565,-0.080339
lula dia,133.000000,0.000175,0.001514,-0.481752
lula escolha,25.000000,0.000033,0.000340,0.032679
lula atencao,92.000000,0.000121,0.001092,0.872969
lula sao,211.000000,0.000278,0.002273,-0.081148
lula paulo,73.000000,0.000096,0.000888,-0.511040
lula amanha,48.000000,0.000063,0.000611,-0.098688
lula frente,288.000000,0.000379,0.002985,1.285618
lula tse,196.000000,0.000258,0.002131,0.022329
lula pedido,11.000000,0.000014,0.000161,-0.928347
lula news,33.000000,0.000043,0.000436,-0.483775
