Number of words,371455
Number of unique words,393
Average word frequency,945.178117
Entropy,5.407744

Word,Frequency,Proportion,Entropy Term
lula,14354,0.038643,0.125720
vez,1034,0.002784,0.016379
debate,1869,0.005032,0.026627
nesse,370,0.000996,0.006885
video,1330,0.003581,0.020166
presidente,10654,0.028682,0.101863
bolsonaro,28483,0.076680,0.196922
tudo,963,0.002593,0.015439
pt,4337,0.011676,0.051960
fez,754,0.002030,0.012585
contra,2722,0.007328,0.036025
brasil,6980,0.018791,0.074682
toda,348,0.000937,0.006533
quer,732,0.001971,0.012276
verdade,593,0.001596,0.010281
via,752,0.002024,0.012557
ministro,1202,0.003236,0.018553
fabio,375,0.001010,0.006964
faria,334,0.000899,0.006307
denuncia,520,0.001400,0.009199
mil,934,0.002514,0.015051
insercoes,1259,0.003389,0.019276
campanha,2984,0.008033,0.038754
jair,6346,0.017084,0.069526
messias,1113,0.002996,0.017410
nordeste,750,0.002019,0.012529
disse,1242,0.003344,0.019061
dias,1124,0.003026,0.017552
canal,398,0.001071,0.007327
eleitoral,2857,0.007691,0.037439
resposta,368,0.000991,0.006853
trabalhadores,380,0.001023,0.007043
deste,699,0.001882,0.011809
pais,2404,0.006472,0.032620
tribunal,1132,0.003047,0.017655
voto,2117,0.005699,0.029450
link,480,0.001292,0.008595
ipec,549,0.001478,0.009632
urgente,457,0.001230,0.008244
radio,768,0.002068,0.012780
caso,769,0.002070,0.012794
anos,1654,0.004453,0.024108
melhor,740,0.001992,0.012388
saiba,461,0.001241,0.008305
porque,753,0.002027,0.012571
rede,347,0.000934,0.006517
voce,1694,0.004560,0.024582
pode,1016,0.002735,0.016142
ter,1190,0.003204,0.018400
nunca,692,0.001863,0.011710
pra,1069,0.002878,0.016838
agora,1465,0.003944,0.021832
siga,319,0.000859,0.006063
la,370,0.000996,0.006885
eleicoes,3077,0.008284,0.039707
vivo,464,0.001249,0.008351
entrevista,509,0.001370,0.009034
candidato,2887,0.007772,0.037751
reeleicao,1796,0.004835,0.025780
senador,409,0.001101,0.007500
cidade,717,0.001930,0.012064
eduardo,460,0.001238,0.008290
carreata,664,0.001788,0.011310
apoio,1373,0.003696,0.020701
proximo,589,0.001586,0.010222
domingo,2324,0.006256,0.031746
poder,534,0.001438,0.009409
futuro,637,0.001715,0.010921
governador,1484,0.003995,0.022064
tambem,1692,0.004555,0.024559
gente,713,0.001919,0.012008
confira,698,0.001879,0.011795
aqui,944,0.002541,0.015185
votar,1516,0.004081,0.022452
historia,682,0.001836,0.011567
todo,896,0.002412,0.014539
assim,649,0.001747,0.011094
numeros,318,0.000856,0.006047
ultimo,697,0.001876,0.011781
ano,477,0.001284,0.008549
brasileiro,647,0.001742,0.011065
maior,750,0.002019,0.012529
dois,1143,0.003077,0.017797
governo,2270,0.006111,0.031152
novo,847,0.002280,0.013872
milhoes,756,0.002035,0.012613
trabalho,430,0.001158,0.007827
desde,603,0.001623,0.010427
dia,2723,0.007331,0.036035
escolha,306,0.000824,0.005850
atencao,486,0.001308,0.008686
sao,2894,0.007791,0.037824
paulo,1539,0.004143,0.022731
amanha,670,0.001804,0.011396
frente,1007,0.002711,0.016023
tse,2424,0.006526,0.032837
pedido,352,0.000948,0.006597
news,677,0.001823,0.011496
sendo,555,0.001494,0.009721
rio,1082,0.002913,0.017007
pessoas,1188,0.003198,0.018374
casa,355,0.000956,0.006645
vote,1095,0.002948,0.017176
meio,418,0.001125,0.007640
pandemia,314,0.000845,0.005981
mundo,646,0.001739,0.011051
superior,888,0.002391,0.014430
mulheres,490,0.001319,0.008747
bem,1137,0.003061,0.017720
pesquisa,2174,0.005853,0.030088
primeiro,1383,0.003723,0.020824
turno,4218,0.011355,0.050850
enquanto,709,0.001909,0.011951
sempre,623,0.001677,0.010718
lado,786,0.002116,0.013031
povo,1345,0.003621,0.020353
vida,599,0.001613,0.010369
policia,680,0.001831,0.011539
federal,1562,0.004205,0.023008
redes,747,0.002011,0.012487
sociais,760,0.002046,0.012669
deputado,616,0.001658,0.010617
roberto,1007,0.002711,0.016023
jefferson,1149,0.003093,0.017874
preso,489,0.001316,0.008732
