Number of words,371455
Number of unique words,393
Average word frequency,945.178117
Entropy,5.407744

Word,Frequency,Proportion,Entropy Term
pl,3656,0.009842,0.045482
processo,300,0.000808,0.005751
onde,606,0.001631,0.010471
afirma,322,0.000867,0.006112
todas,384,0.001034,0.007107
afirmou,649,0.001747,0.011094
apos,1592,0.004286,0.023368
decisao,563,0.001516,0.009840
alexandre,733,0.001973,0.012290
moraes,860,0.002315,0.014049
acesse,411,0.001106,0.007531
materia,338,0.000910,0.006371
politica,1259,0.003389,0.019276
brasileira,363,0.000977,0.006773
policiais,369,0.000993,0.006869
prisao,396,0.001066,0.007296
mostra,630,0.001696,0.010820
outro,408,0.001098,0.007484
sp,321,0.000864,0.006096
leia,721,0.001941,0.012121
esquerda,485,0.001306,0.008671
ser,2152,0.005793,0.029842
eleitorais,375,0.001010,0.006964
radios,866,0.002331,0.014131
so,1290,0.003473,0.019666
faz,612,0.001648,0.010558
apoiadores,654,0.001761,0.011166
evento,359,0.000966,0.006709
antes,783,0.002108,0.012989
favor,426,0.001147,0.007765
petista,1512,0.004070,0.022404
fonte,311,0.000837,0.005932
cada,576,0.001551,0.010031
vota,464,0.001249,0.008351
aposentados,350,0.000942,0.006565
expresidente,1344,0.003618,0.020341
luiz,1769,0.004762,0.025464
inacio,1816,0.004889,0.026013
silva,2111,0.005683,0.029383
intencoes,450,0.001211,0.008136
segundo,3645,0.009813,0.045375
brancos,532,0.001432,0.009379
nulos,576,0.001551,0.010031
outros,471,0.001268,0.008458
ainda,1271,0.003422,0.019427
vao,342,0.000921,0.006436
globo,1380,0.003715,0.020787
parte,652,0.001755,0.011137
grupo,324,0.000872,0.006144
ai,301,0.000810,0.005768
qualquer,386,0.001039,0.007138
forma,392,0.001055,0.007233
publico,398,0.001071,0.007327
imprensa,331,0.000891,0.006258
instagram,449,0.001209,0.008121
bolsonaropresidente,314,0.000845,0.005981
violencia,345,0.000929,0.006484
apenas,612,0.001648,0.010558
adversario,320,0.000861,0.006079
chegou,467,0.001257,0.008397
resultados,402,0.001082,0.007390
intencao,361,0.000972,0.006741
momento,745,0.002006,0.012459
outubro,1285,0.003459,0.019603
numero,599,0.001613,0.010369
menos,1038,0.002794,0.016432
sistema,341,0.000918,0.006420
democracia,833,0.002243,0.013680
direito,712,0.001917,0.011994
sobre,2593,0.006981,0.034656
informacoes,388,0.001045,0.007170
volta,582,0.001567,0.010120
falar,300,0.000808,0.005751
durante,912,0.002455,0.014755
ultimas,303,0.000816,0.005801
noticias,1066,0.002870,0.016798
corrupcao,541,0.001456,0.009513
divulgada,604,0.001626,0.010442
nesta,1413,0.003804,0.021195
segundafeira,402,0.001082,0.007390
votos,5169,0.013916,0.059485
validos,1739,0.004682,0.025113
levantamento,832,0.002240,0.013666
provas,340,0.000915,0.006404
possivel,338,0.000910,0.006371
final,789,0.002124,0.013072
ultima,511,0.001376,0.009064
semana,517,0.001392,0.009154
r,771,0.002076,0.012822
primeira,429,0.001155,0.007812
grande,1049,0.002824,0.016576
bom,334,0.000899,0.006307
aliado,301,0.000810,0.005768
familia,932,0.002509,0.015024
fazer,835,0.002248,0.013707
maioria,313,0.000843,0.005965
estado,1256,0.003381,0.019238
acaba,300,0.000808,0.005751
foto,463,0.001246,0.008336
tres,356,0.000958,0.006661
vamos,1924,0.005180,0.027261
voces,403,0.001085,0.007406
bolsonarista,397,0.001069,0.007312
palacio,360,0.000969,0.006725
completa,370,0.000996,0.006885
direita,444,0.001195,0.008044
neste,1674,0.004507,0.024346
ladrao,466,0.001255,0.008381
fala,485,0.001306,0.008671
relacao,338,0.000910,0.006371
ta,390,0.001050,0.007201
eleicao,1745,0.004698,0.025183
presidencial,620,0.001669,0.010675
aparece,432,0.001163,0.007858
margem,685,0.001844,0.011610
erro,685,0.001844,0.011610
pontos,884,0.002380,0.014376
percentuais,581,0.001564,0.010105
eleitores,1130,0.003042,0.017630
diz,1155,0.003109,0.017952
todos,2001,0.005387,0.028140
juntos,654,0.001761,0.011166
reta,457,0.001230,0.008244
patria,448,0.001206,0.008105
ver,402,0.001082,0.007390
indecisos,414,0.001115,0.007578
tv,857,0.002307,0.014008
nada,410,0.001104,0.007516
vai,2131,0.005737,0.029607
nova,643,0.001731,0.011008
pois,378,0.001018,0.007012
dizer,323,0.000870,0.006128
twitter,491,0.001322,0.008762
feita,314,0.000845,0.005981
atual,1195,0.003217,0.018464
fim,425,0.001144,0.007749
pesquisas,726,0.001954,0.012191
estao,984,0.002649,0.015718
propaganda,615,0.001656,0.010602
vem,364,0.000980,0.006789
jairmessiasbolsonaro,392,0.001055,0.007233
hoje,1747,0.004703,0.025207
chefe,395,0.001063,0.007280
nacao,391,0.001053,0.007217
ato,368,0.000991,0.006853
sera,1316,0.003543,0.019992
deus,1408,0.003790,0.021133
republica,1227,0.003303,0.018871
site,422,0.001136,0.007703
politico,468,0.001260,0.008412
justica,647,0.001742,0.011065
dar,367,0.000988,0.006837
populacao,412,0.001109,0.007547
salario,1736,0.004674,0.025077
acordo,486,0.001308,0.008686
candidatos,882,0.002374,0.014349
instituto,652,0.001755,0.011137
alem,482,0.001298,0.008625
sob,381,0.001026,0.007059
segunda,322,0.000867,0.006112
x,336,0.000905,0.006339
uol,457,0.001230,0.008244
programa,314,0.000845,0.005981
sul,444,0.001195,0.008044
jairbolsonaro,411,0.001106,0.007531
ha,690,0.001858,0.011681
jornal,365,0.000983,0.006805
guedes,364,0.000980,0.006789
horas,430,0.001158,0.007827
fraude,300,0.000808,0.005751
sabe,405,0.001090,0.007437
ruas,377,0.001015,0.006996
regiao,453,0.001220,0.008182
crime,476,0.001281,0.008534
brasilia,357,0.000961,0.006677
tarcisio,1480,0.003984,0.022015
amigos,443,0.001193,0.008028
fake,346,0.000931,0.006501
mandato,503,0.001354,0.008944
amor,309,0.000832,0.005899
alguns,315,0.000848,0.005998
liberdade,941,0.002533,0.015145
vantagem,388,0.001045,0.007170
apuracao,641,0.001726,0.010979
educacao,378,0.001018,0.007012
capitao,453,0.001220,0.008182
vencer,368,0.000991,0.006853
aponta,436,0.001174,0.007920
noite,485,0.001306,0.008671
minas,541,0.001456,0.009513
gerais,402,0.001082,0.007390
local,328,0.000883,0.006210
dentro,322,0.000867,0.006112
janeiro,678,0.001825,0.011510
sido,427,0.001150,0.007781
eleito,1683,0.004531,0.024452
desta,540,0.001454,0.009498
disputa,717,0.001930,0.012064
hora,518,0.001395,0.009169
reeleito,350,0.000942,0.006565
quase,333,0.000896,0.006291
minimo,840,0.002261,0.013776
deve,431,0.001160,0.007843
executivo,336,0.000905,0.006339
renda,302,0.000813,0.005784
parana,442,0.001190,0.008013
precisa,424,0.001141,0.007734
veja,1242,0.003344,0.019061
conta,441,0.001187,0.007997
votou,334,0.000899,0.006307
ficou,367,0.000988,0.006837
freitas,543,0.001462,0.009543
prefeito,360,0.000969,0.006725
sabado,780,0.002100,0.012947
partido,666,0.001793,0.011338
presidencia,962,0.002590,0.015425
stf,642,0.001728,0.010993
carlos,301,0.000810,0.005768
gomes,347,0.000934,0.006517
vitoria,1350,0.003634,0.020415
deu,383,0.001031,0.007091
noticia,311,0.000837,0.005932
coisa,359,0.000966,0.006709
tempo,596,0.001605,0.010325
ultimos,341,0.000918,0.006420
onyx,327,0.000880,0.006193
pouco,399,0.001074,0.007343
dados,385,0.001036,0.007123
importante,404,0.001088,0.007422
venceu,543,0.001462,0.009543
feito,410,0.001104,0.007516
nome,342,0.000921,0.006436
militar,361,0.000972,0.006741
diferenca,484,0.001303,0.008656
duas,348,0.000937,0.006533
cargo,330,0.000888,0.006242
municipios,315,0.000848,0.005998
saude,367,0.000988,0.006837
nacional,467,0.001257,0.008397
brasileiros,671,0.001806,0.011410
estar,306,0.000824,0.005850
acima,445,0.001198,0.008059
sextafeira,473,0.001273,0.008488
quintafeira,423,0.001139,0.007718
resultado,1054,0.002837,0.016641
quatro,432,0.001163,0.007858
real,311,0.000837,0.005932
manha,430,0.001158,0.007827
fernando,378,0.001018,0.007012
tarde,369,0.000993,0.006869
homem,339,0.000913,0.006388
votacao,845,0.002275,0.013844
inflacao,310,0.000835,0.005916
valor,308,0.000829,0.005883
forabolsonaro,352,0.000948,0.006597
urnas,1530,0.004119,0.022622
economia,399,0.001074,0.007343
partir,422,0.001136,0.007703
aumento,443,0.001193,0.008028
recebeu,322,0.000867,0.006112
datafolha,489,0.001316,0.008732
quartafeira,326,0.000878,0.006177
haddad,484,0.001303,0.008656
quarto,385,0.001036,0.007123
apuradas,698,0.001879,0.011795
debatenaglobo,347,0.000934,0.006517
decimo,388,0.001045,0.007170
prf,350,0.000942,0.006565
